연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2016,강원도,강릉시,,,,,,,,,1,,,0
2017,강원도,강릉시,,,,,,,,,1,,,0
2018,강원도,강릉시,,,,,,,,,1,,,0
2019,강원도,강릉시,,,,,,,,,1,,,0
2020,강원도,강릉시,,,,,,,,,1,,,0
2021,강원도,강릉시,,,,,,,,,1,,,0
2022,강원도,강릉시,,,,,,,,,1,,,0
2023,강원도,강릉시,,,,,,,,,1,,,0
2016,강원도,고성군,,,,,,,,,1,,,0
2017,강원도,고성군,,,,,,,,,1,,,0
2018,강원도,고성군,,,,,,,,,1,,,0
2019,강원도,고성군,,,,,,,,,1,,,0
2020,강원도,고성군,,,,,,,,,1,,,0
2021,강원도,고성군,,,,,,,,,1,,,0
2022,강원도,고성군,,,,,,,,,1,,,0
2023,강원도,고성군,,,,,,,,,1,,,0
2016,강원도,동해시,,,,,,,,,1,,,0
2017,강원도,동해시,,,,,,,,,1,,,0
2018,강원도,동해시,,,,,,,,,1,,,0
2019,강원도,동해시,,,,,,,,,1,,,0
2020,강원도,동해시,,,,,,,,,1,,,0
2021,강원도,동해시,,,,,,,,,1,,,0
2022,강원도,동해시,,,,,,,,,1,,,0
2023,강원도,동해시,,,,,,,,,1,,,0
2016,강원도,삼척시,44734000.0,17.616244419206712,435.5,6.0787883752796565,0.0,17.616244419206712,1.0,50.0,0,1.0,0.0,1
2017,강원도,삼척시,66314000.0,18.009911609332068,646.5,6.4731187935736925,0.0,18.009911609332068,1.0,50.0,0,2.0,0.0,1
2018,강원도,삼척시,31848000.0,17.276485175061435,310.9,5.742682623613757,0.0,17.276485175061435,1.0,50.0,0,2.0,0.0,1
2019,강원도,삼척시,33831000.0,17.336888129441224,330.7,5.804230945953007,0.0,17.336888129441224,1.0,50.0,0,2.0,0.0,1
2020,강원도,삼척시,34391000.0,17.353305489283475,336.7,5.822157927391522,0.0,17.353305489283475,1.0,50.0,0,2.0,0.0,1
