연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2016,강원특별자치도,강릉시,51150,105,6.95,-1.04,23.93,1258.2,2.29,1898.4,2740.5,-2.18,11.0,366,True
2017,강원특별자치도,강릉시,51150,105,6.95,-0.53,24.11,1081.9,2.51,1956.2,2786.2,-1.64,12.0,365,True
2018,강원특별자치도,강릉시,51150,105,6.95,-3.42,25.4,1599.4,2.43,1960.8,2796.0,-0.86,12.0,365,True
2019,강원특별자치도,강릉시,51150,105,6.95,-0.8,24.62,1670.5,2.43,2064.0,2914.6,-1.25,12.0,365,True
2020,강원특별자치도,강릉시,51150,105,6.95,1.32,24.52,1812.9,2.42,1860.5,2691.4,-2.52,12.0,366,True
2021,강원특별자치도,강릉시,51150,105,6.95,-1.62,24.8,1316.4,2.22,1996.9,2904.6,-1.69,12.0,365,True
2022,강원특별자치도,강릉시,51150,105,6.95,-1.47,25.52,1465.5,2.26,2159.9,3051.0,-0.58,12.0,365,True
2023,강원특별자치도,강릉시,51150,105,6.95,-1.11,25.63,1568.3,2.23,2264.5,3189.2,-1.66,12.0,365,True
2016,강원특별자치도,고성군,51820,90,20.12,-3.13,23.04,1333.8,1.88,1679.8,2483.9,-1.99,11.0,366,True
2017,강원특별자치도,고성군,51820,90,20.12,-1.58,23.06,1208.2,1.81,1732.6,2537.7,-1.63,12.0,365,True
2018,강원특별자치도,고성군,51820,90,20.12,-4.7,24.01,1777.0,1.85,1729.6,2519.2,-0.82,12.0,365,True
2019,강원특별자치도,고성군,51820,90,20.12,-2.38,23.51,1355.5,1.86,1813.3,2632.8,-1.26,12.0,365,True
2020,강원특별자치도,고성군,51820,90,20.12,-0.01,23.17,2085.8,2.05,1636.2,2430.8,-2.59,12.0,366,True
2021,강원특별자치도,고성군,51820,90,20.12,-3.24,23.44,1199.7,1.96,1718.6,2547.7,-1.79,12.0,365,True
2022,강원특별자치도,고성군,51820,90,20.12,-3.45,23.3,1637.3,1.94,1737.2,2563.5,-0.59,12.0,365,True
2023,강원특별자치도,고성군,51820,90,20.12,-3.48,24.17,1768.8,1.89,1867.8,2706.0,-1.17,12.0,365,True
2016,강원특별자치도,동해시,51170,106,6.02,0.06,23.43,924.5,1.98,1832.6,2703.6,-2.28,11.0,366,True
2017,강원특별자치도,동해시,51170,106,6.02,0.74,23.37,985.7,2.13,1829.8,2657.6,-1.52,12.0,365,True
2018,강원특별자치도,동해시,51170,106,6.02,-2.42,23.45,1436.5,2.07,1681.5,2506.0,-0.97,12.0,365,True
2019,강원특별자치도,동해시,51170,106,6.02,-0.83,22.08,1532.8,2.03,1571.9,2383.6,-1.06,12.0,365,True
2020,강원특별자치도,동해시,51170,106,6.02,0.88,21.81,1322.4,2.12,1446.8,2237.3,-2.35,12.0,366,True
2021,강원특별자치도,동해시,51170,106,6.02,-1.8,22.78,1244.6,1.98,1633.0,2483.0,-1.87,12.0,365,True
2022,강원특별자치도,동해시,51170,106,6.02,-1.13,23.13,1101.4,1.95,1758.4,2628.3,-0.74,12.0,365,True
2023,강원특별자치도,동해시,51170,106,6.02,-0.9,23.73,1356.8,1.88,1878.6,2770.5,-1.33,12.0,365,True
2016,강원특별자치도,삼척시,51230,216,16.73,-7.49,21.11,1141.4,1.56,1240.2,1942.8,-1.81,11.0,366,True
2017,강원특별자치도,삼척시,51230,216,16.73,-7.56,20.38,933.8,1.55,1120.0,1801.6,-2.23,12.0,365,True
2018,강원특별자치도,삼척시,51230,216,16.73,-9.77,21.95,1489.3,1.57,1266.6,1925.4,-1.41,12.0,365,True
2019,강원특별자치도,삼척시,51230,216,16.73,-7.77,20.69,1169.8,1.47,1232.8,1903.8,-1.05,12.0,365,True
2020,강원특별자치도,삼척시,51230,216,16.73,-5.57,20.92,1530.1,1.46,1149.6,1791.1,-1.91,12.0,366,True
2021,강원특별자치도,삼척시,51230,216,16.73,-7.14,20.18,1207.4,1.38,1120.2,1774.0,-1.13,12.0,365,True
2022,강원특별자치도,삼척시,51230,216,16.73,-9.16,20.97,1088.9,1.35,1212.2,1866.7,-1.67,12.0,365,True
2023,강원특별자치도,삼척시,51230,216,16.73,-9.11,21.66,1525.8,1.31,1291.3,1986.8,-1.51,12.0,365,True
2016,강원특별자치도,속초시,51210,90,9.22,-3.13,23.04,1333.8,1.88,1679.8,2483.9,-1.99,11.0,366,True
