연도,시도,시군구,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판
2016,강원도,강릉시,0.0,0.0020977980821461,0,0,26.6329,242.11,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,강릉시,0.0,0.0001999800026662,0,0,26.6329,517.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,강릉시,0.0,0.0002999550089979,0,0,26.6329,517.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,강릉시,0.0,0.000499875041651,0,0,26.6329,242.11,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,강릉시,0.0,0.0013990209137073,0,0,26.7717,242.11,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,강릉시,0.0,0.000499875041651,0,0,26.7717,125.35,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,강릉시,0.0,0.0005998200719676,0,0,26.7717,245.3,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,강릉시,0.0,0.001598721363697,0,0,26.7717,242.11,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,고성군,0.0,0.0,0,0,4.7633,321.87,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,고성군,0.0,0.0,0,0,4.7633,572.68,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,고성군,0.0,0.0,0,0,4.7633,572.68,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,고성군,0.0,0.0,0,0,4.7633,321.87,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,고성군,0.0,0.0,0,0,7.5806,321.87,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,고성군,0.0,0.0,0,0,7.5806,202.2,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,고성군,0.0,0.0,0,0,7.5806,321.26,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,고성군,0.0,0.0,0,0,7.5806,321.87,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,동해시,0.0009995003330835,0.0002999550089979,1,0,25.8767,217.89,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,동해시,0.0,9.999500033330834e-05,0,0,25.8767,505.61,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,동해시,0.0,9.999500033330834e-05,0,0,25.8767,505.61,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,동해시,0.0,0.0001999800026662,0,0,25.8767,217.89,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,동해시,0.0,9.999500033330834e-05,0,0,23.4842,217.89,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,동해시,0.0,0.0,0,0,23.4842,105.7,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,동해시,0.0016985566355814,0.0,1,0,23.4842,224.1,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,동해시,0.0007996801705643,0.0001999800026662,2,0,23.4842,217.89,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,삼척시,0.0,0.0003999200213269,1,0,34.5741,192.2,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,삼척시,0.0,9.999500033330834e-05,0,0,34.5741,486.11,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,삼척시,0.0,9.999500033330834e-05,0,0,34.5741,486.11,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,삼척시,0.0,9.999500033330834e-05,0,0,34.5741,192.2,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,삼척시,0.0,9.999500033330834e-05,0,0,33.8132,192.2,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,삼척시,0.0,0.0,1,0,33.8132,83.15,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,삼척시,0.0,0.0005998200719676,0,0,33.8132,199.61,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,삼척시,0.0,0.0002999550089979,1,0,33.8132,192.2,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,속초시,0.0,0.0,0,0,17.7048,297.83,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,속초시,0.0,0.0,0,0,17.7048,554.87,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,속초시,0.0,0.0,0,0,17.7048,554.87,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,속초시,0.0,0.0,0,0,17.7048,297.83,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,속초시,0.0,0.0,0,0,18.2577,297.83,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,속초시,0.0,0.0,0,0,18.2577,178.56,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,속초시,0.0,0.0,0,0,18.2577,298.04,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,속초시,0.0,0.0,0,0,18.2577,297.83,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,양구군,0.0,0.0373921192170626,0,0,2.0902,310.58,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,양구군,0.0,0.00329456694943,0,0,2.0902,541.72,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,양구군,0.0,0.0014988761237358,0,0,2.0902,541.72,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,양구군,0.0,0.0031948908965191,0,0,2.0902,310.58,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,양구군,0.0,0.0258626595257273,0,0,13.3106,310.58,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,양구군,0.0,0.0137056470561119,0,0,13.3106,190.21,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,양구군,0.0,0.0200967016991224,0,0,13.3106,305.46,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,양구군,0.0,0.0283930745012178,0,0,13.3106,310.58,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,양양군,0.0,0.0021975835434872,1,0,23.6764,277.86,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,양양군,0.0,0.0001999800026662,2,0,23.6764,539.3,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,양양군,0.0,0.0002999550089979,0,0,23.6764,539.3,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,양양군,0.0,0.000499875041651,0,0,23.6764,277.86,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,양양군,0.0,0.001598721363697,0,0,23.5334,277.86,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,양양군,0.0,0.0005998200719676,0,0,23.5334,158.88,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,양양군,0.0,0.0,0,0,23.5334,278.58,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
