연도,시도,시군구,국비지원액_원,총사업비_원,국비비율(%),매칭사업수,매칭사업명,예찰진단_국비지원액_원,예찰진단_총사업비_원,예찰진단_국비비율(%),예찰진단_매칭사업수,예찰진단_사업명목록,국비지원액_최종_원,총사업비_최종_원,국비비율_최종(%),매칭사업수_최종,산림면적_ha,산림면적당_국비지원액(원per ha),산림면적당_국비지원액_최종(원per ha),시도비_원(참고),시군구비_원(참고),기타재원_원(참고),출처,비고
2016,강원도,삼척시,0.0,0.0,,0,,44734000.0,89468000.0,50.0,1,산림병해충 예찰방제단,44734000.0,89468000.0,50.0,1,102726.3,0.0,435.5,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2017,강원도,삼척시,0.0,0.0,,0,,66314000.0,132628000.0,50.0,2,산림병해충 예찰방제단; 산림병해충 예찰방제단(자본),66314000.0,132628000.0,50.0,2,102581.7,0.0,646.5,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2018,강원도,삼척시,0.0,0.0,,0,,31848000.0,63696000.0,50.0,2,산림병해충 예찰방제단; 산림병해충 예찰방제단(자본),31848000.0,63696000.0,50.0,2,102437.4,0.0,310.9,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2019,강원도,삼척시,0.0,0.0,,0,,33831000.0,67662000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단 경상)(국고); 산림재해일자리 장기(산림병해충예찰방제단 자본)(국고),33831000.0,67662000.0,50.0,2,102293.2,0.0,330.7,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2020,강원도,삼척시,0.0,0.0,,0,,34391000.0,68783000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상)(국고); 산림재해일자리 장기(산림병해충예찰방제단)(자본)(국고),34391000.0,68783000.0,50.0,2,102149.2,0.0,336.7,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2021,강원도,삼척시,0.0,0.0,,0,,46491000.0,92982000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상)(국고); 산림재해일자리 장기(산림병해충예찰방제단)(자본)(국고),46491000.0,92982000.0,50.0,2,102005.4,0.0,455.8,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2022,강원도,삼척시,0.0,0.0,,0,,35280000.0,94560000.0,37.31,2,산림재해일자리 장기(산림병해충예찰방제단)(경상)(국고); 산림재해일자리 장기(산림병해충예찰방제단)(자본)(국고),35280000.0,94560000.0,37.31,2,101861.8,0.0,346.4,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2023,강원도,삼척시,0.0,0.0,,0,,37597000.0,103194000.0,36.43,2,산림재해일자리 장기(산림병해충예찰방제단)(경상)(국고); 산림재해일자리 장기(산림병해충예찰방제단)(자본)(국고),37597000.0,103194000.0,36.43,2,101718.5,0.0,369.6,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음)
2016,경기도,안성시,0.0,0.0,,0,,0.0,0.0,,0,,0.0,0.0,,0,21441.7,0.0,0.0,0.0,0.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",재선충 직접방제 사업 미검색 - 국비 0으로 처리(산림청 직접집행 등 지자체 예산 외 경로 가능성 있음) / 예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경기도,안성시,293619000.0,419455000.0,70.0,1,소나무재선충병 방제,81727000.0,163454000.0,50.0,2,산림재해일자리 장기(산림병해충 예찰방제단); 산림재해일자리 장기(산림병해충 예찰방제단)(방제자재),375346000.0,582909000.0,64.39,3,21434.9,13698.17,17511.0,37750000.0,88086000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
