연도,시도,시군구,stnId,참조관측소,매핑방식,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2016,강원도,삼척시,106,동해,최근접대체,14.2,0.06,True,23.43,924.5,1.98,1832.6,2703.6,-0.63,-2.28,0.53,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2017,강원도,삼척시,106,동해,최근접대체,14.13,0.74,True,23.37,985.7,2.13,1829.8,2657.6,-0.48,-1.52,0.87,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2018,강원도,삼척시,106,동해,최근접대체,13.22,-2.42,True,23.45,1436.5,2.07,1681.5,2506.0,0.56,-0.97,1.74,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2019,강원도,삼척시,106,동해,최근접대체,13.45,-0.83,True,22.08,1532.8,2.03,1571.9,2383.6,0.35,-1.06,1.73,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2020,강원도,삼척시,106,동해,최근접대체,12.96,0.88,True,21.81,1322.4,2.12,1446.8,2237.3,0.48,-2.35,2.07,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2021,강원도,삼척시,106,동해,최근접대체,13.55,-1.8,True,22.78,1244.6,1.98,1633.0,2483.0,-0.01,-1.87,1.76,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2022,강원도,삼척시,106,동해,최근접대체,13.75,-1.13,True,23.13,1101.4,1.95,1758.4,2628.3,-0.23,-0.74,0.4,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2023,강원도,삼척시,106,동해,최근접대체,14.48,-0.9,True,23.73,1356.8,1.88,1878.6,2770.5,0.01,-1.33,0.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2024,강원도,삼척시,106,동해,최근접대체,14.74,0.17,True,25.43,1275.0,2.21,2116.7,2975.4,0.56,-1.06,2.11,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
2025,강원도,삼척시,106,동해,최근접대체,14.36,-1.68,True,25.71,1055.5,2.45,2021.2,2870.8,-0.65,-2.54,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,삼척시 자체 ASOS 관측소(214)가 있으나 이 프로젝트의 원자료 수집 단계에서 관측 실패(NO_DATA)로 제외됨(CH2 기후위험도/scripts/assemble_final.py 기록 참고). 바로 인접한 동해시 관측소로 대체
