연도,시도,시군구,sigungu_cd,stnId,참조관측소,거리_km,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2016,강원특별자치도,강릉시,51150,105,강릉,6.95,13.84,-1.04,True,23.93,1258.2,2.29,1898.4,2740.5,-0.41,-2.18,0.89,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2017,강원특별자치도,강릉시,51150,105,강릉,6.95,13.97,-0.53,True,24.11,1081.9,2.51,1956.2,2786.2,-0.6,-1.64,0.63,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2018,강원특별자치도,강릉시,51150,105,강릉,6.95,13.76,-3.42,True,25.4,1599.4,2.43,1960.8,2796.0,0.4,-0.86,1.9,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2019,강원특별자치도,강릉시,51150,105,강릉,6.95,14.77,-0.8,True,24.62,1670.5,2.43,2064.0,2914.6,0.11,-1.25,1.71,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2020,강원특별자치도,강릉시,51150,105,강릉,6.95,14.31,1.32,True,24.52,1812.9,2.42,1860.5,2691.4,0.74,-2.52,2.27,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2021,강원특별자치도,강릉시,51150,105,강릉,6.95,14.63,-1.62,True,24.8,1316.4,2.22,1996.9,2904.6,-0.19,-1.69,1.75,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2022,강원특별자치도,강릉시,51150,105,강릉,6.95,14.79,-1.47,True,25.52,1465.5,2.26,2159.9,3051.0,0.04,-0.58,0.55,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2023,강원특별자치도,강릉시,51150,105,강릉,6.95,15.51,-1.11,True,25.63,1568.3,2.23,2264.5,3189.2,-0.04,-1.66,0.78,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2024,강원특별자치도,강릉시,51150,105,강릉,6.95,15.31,-0.34,True,26.96,1400.2,2.15,2336.1,3213.5,0.43,-1.48,2.27,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
2025,강원특별자치도,강릉시,51150,105,강릉,6.95,15.25,-1.15,True,27.65,1256.2,2.26,2309.8,3191.2,-0.52,-2.33,1.29,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.95km)"
