연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2016,강원도,삼척시,320,199,118585.99999999999,0.0027,,1,0.0154,SGIS실제인접,39389.1,102726.3,38.34,외삽(2019/2025 실측 anchor),250.85,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,강원도,삼척시,480,320,118585.99999999999,0.004,,1,0.0225,SGIS실제인접,39233.9,102581.7,38.25,외삽(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,강원도,삼척시,827,480,118585.99999999999,0.007,,2,0.0339,SGIS실제인접,39079.3,102437.4,38.15,외삽(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,강원도,삼척시,1387,827,118585.99999999999,0.0117,63.32,3,0.0455,SGIS실제인접,38925.3,102293.2,38.05,실측(임상도overlay),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,강원도,삼척시,1227,1387,118585.99999999999,0.0103,42.81,4,0.0415,SGIS실제인접,38772.0,102149.2,37.96,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,강원도,삼척시,1040,1227,118585.99999999999,0.0088,13.66,5,0.0355,SGIS실제인접,38619.2,102005.4,37.86,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,강원도,삼척시,907,1040,118585.99999999999,0.0076,-13.19,6,0.0309,SGIS실제인접,38467.1,101861.8,37.76,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,강원도,삼척시,800,907,118585.99999999999,0.0067,-13.27,7,0.0282,SGIS실제인접,38315.5,101718.5,37.67,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,강원도,삼척시,702,800,118585.99999999999,0.0059,-12.29,8,0.0251,SGIS실제인접,38164.5,101575.3,37.57,보간(2019/2025 실측 anchor),177.32,0,추정(최근추세 외삽)
2025,강원도,삼척시,615,702,118585.99999999999,0.0052,-12.12,9,0.0224,SGIS실제인접,38014.2,101432.3,37.48,실측(임상도overlay),177.32,0,추정(최근추세 외삽)
2016,경기도,안성시,452,289,55340.0,0.0082,,1,0.044,SGIS실제인접,1369.4,21441.7,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",234.54,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경기도,안성시,654,452,55340.0,0.0118,,2,0.0619,SGIS실제인접,1369.6,21434.9,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경기도,안성시,1093,654,55340.0,0.0198,,3,0.0947,SGIS실제인접,1369.7,21428.2,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경기도,안성시,1723,1093,55340.0,0.0311,56.54,4,0.1233,SGIS실제인접,1369.9,21421.4,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경기도,안성시,1521,1723,55340.0,0.0275,37.72,5,0.1088,SGIS실제인접,1370.0,21414.6,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경기도,안성시,1307,1521,55340.0,0.0236,10.61,6,0.0927,SGIS실제인접,1370.2,21407.8,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경기도,안성시,1141,1307,55340.0,0.0206,-12.84,7,0.0821,SGIS실제인접,1370.4,21401.0,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경기도,안성시,1010,1141,55340.0,0.0183,-12.75,8,0.0756,SGIS실제인접,1370.5,21394.3,6.41,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
