연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_결측,최근감염목과의_거리_km,집단발생여부,데이터유형
2016,강원도,강릉시,0,0,104052.9,0.0,,0,0.0021,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,강릉시,0,0,104052.9,0.0,,0,0.0002,SGIS실제인접,30318.8,92258.0,32.86,False,517.1,0,실측(원자료 기반)
2018,강원도,강릉시,0,0,104052.9,0.0,,0,0.0003,SGIS실제인접,30318.8,92258.0,32.86,False,517.1,0,실측(원자료 기반)
2019,강원도,강릉시,0,0,104052.9,0.0,,0,0.0005,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,실측(원자료 기반)
2020,강원도,강릉시,0,0,104052.9,0.0,,0,0.0014,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,실측(원자료 기반)
2021,강원도,강릉시,0,0,104052.9,0.0,,0,0.0005,SGIS실제인접,30318.8,92258.0,32.86,False,125.35,0,실측(원자료 기반)
2022,강원도,강릉시,0,0,104052.9,0.0,,0,0.0006,centroid근접(대체),30318.8,92258.0,32.86,False,245.3,0,실측(원자료 기반)
2023,강원도,강릉시,0,0,104052.9,0.0,,0,0.0016,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,강릉시,0,0,104052.9,0.0,,0,0.0013,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,강릉시,0,0,104052.9,0.0,,0,0.0022,SGIS실제인접,30318.8,92258.0,32.86,False,242.11,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,572.68,0,실측(원자료 기반)
2018,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,572.68,0,실측(원자료 기반)
2019,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,실측(원자료 기반)
2020,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,실측(원자료 기반)
2021,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,202.2,0,실측(원자료 기반)
2022,강원도,고성군,0,0,66115.5,0.0,,0,0.0,centroid근접(대체),5329.0,20489.8,26.01,False,321.26,0,실측(원자료 기반)
2023,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,고성군,0,0,66115.5,0.0,,0,0.0,SGIS실제인접,5329.0,20489.8,26.01,False,321.87,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,동해시,19,27,18124.6,0.001,,1,0.0003,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,동해시,0,19,18124.6,0.0,,0,0.0001,SGIS실제인접,5138.8,16218.8,31.68,False,505.61,0,실측(원자료 기반)
2018,강원도,동해시,0,0,18124.6,0.0,,0,0.0001,SGIS실제인접,5138.8,16218.8,31.68,False,505.61,0,실측(원자료 기반)
2019,강원도,동해시,0,0,18124.6,0.0,-100.0,0,0.0002,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,실측(원자료 기반)
2020,강원도,동해시,0,0,18124.6,0.0,,0,0.0001,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,실측(원자료 기반)
2021,강원도,동해시,0,0,18124.6,0.0,,0,0.0,SGIS실제인접,5138.8,16218.8,31.68,False,105.7,0,실측(원자료 기반)
2022,강원도,동해시,30,0,18124.6,0.0017,,1,0.0,centroid근접(대체),5138.8,16218.8,31.68,False,224.1,0,실측(원자료 기반)
2023,강원도,동해시,14,30,18124.6,0.0008,-52.7,2,0.0002,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,동해시,12,14,18124.6,0.0007,-34.18,3,0.0002,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,동해시,20,12,18124.6,0.0011,-1.01,4,0.0003,SGIS실제인접,5138.8,16218.8,31.68,False,217.89,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,삼척시,1,1,118815.0,0.0,,1,0.0004,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,삼척시,0,1,118815.0,0.0,,0,0.0001,SGIS실제인접,42891.0,115497.5,37.14,False,486.11,0,실측(원자료 기반)
2018,강원도,삼척시,0,0,118815.0,0.0,,0,0.0001,SGIS실제인접,42891.0,115497.5,37.14,False,486.11,0,실측(원자료 기반)
2019,강원도,삼척시,0,0,118815.0,0.0,-100.0,0,0.0001,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,실측(원자료 기반)
2020,강원도,삼척시,0,0,118815.0,0.0,,0,0.0001,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,실측(원자료 기반)
2021,강원도,삼척시,1,0,118815.0,0.0,,1,0.0,SGIS실제인접,42891.0,115497.5,37.14,False,83.15,0,실측(원자료 기반)
2022,강원도,삼척시,0,1,118815.0,0.0,-100.0,0,0.0006,centroid근접(대체),42891.0,115497.5,37.14,False,199.61,0,실측(원자료 기반)
2023,강원도,삼척시,1,0,118815.0,0.0,-100.0,1,0.0003,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,삼척시,0,1,118815.0,0.0,-57.83,2,0.0002,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,삼척시,1,0,118815.0,0.0,24.83,3,0.0004,SGIS실제인접,42891.0,115497.5,37.14,False,192.2,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,554.87,0,실측(원자료 기반)
2018,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,554.87,0,실측(원자료 기반)
2019,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,실측(원자료 기반)
2020,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,실측(원자료 기반)
2021,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,178.56,0,실측(원자료 기반)
2022,강원도,속초시,0,0,10583.8,0.0,,0,0.0,centroid근접(대체),2171.2,9132.8,23.77,False,298.04,0,실측(원자료 기반)
2023,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,속초시,0,0,10583.8,0.0,,0,0.0,SGIS실제인접,2171.2,9132.8,23.77,False,297.83,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,양구군,0,0,66076.2,0.0,,0,0.0381,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,양구군,0,0,66076.2,0.0,,0,0.0033,SGIS실제인접,9409.6,30475.1,30.88,False,541.72,0,실측(원자료 기반)
2018,강원도,양구군,0,0,66076.2,0.0,,0,0.0015,SGIS실제인접,9409.6,30475.1,30.88,False,541.72,0,실측(원자료 기반)
2019,강원도,양구군,0,0,66076.2,0.0,,0,0.0032,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,실측(원자료 기반)
2020,강원도,양구군,0,0,66076.2,0.0,,0,0.0262,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,실측(원자료 기반)
2021,강원도,양구군,0,0,66076.2,0.0,,0,0.0138,SGIS실제인접,9409.6,30475.1,30.88,False,190.21,0,실측(원자료 기반)
2022,강원도,양구군,0,0,66076.2,0.0,,0,0.0203,centroid근접(대체),9409.6,30475.1,30.88,False,305.46,0,실측(원자료 기반)
2023,강원도,양구군,0,0,66076.2,0.0,,0,0.0288,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,양구군,0,0,66076.2,0.0,,0,0.0243,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,양구군,0,0,66076.2,0.0,,0,0.0401,SGIS실제인접,9409.6,30475.1,30.88,False,310.58,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,양양군,0,0,63086.1,0.0,,1,0.0022,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,양양군,1,0,63086.1,0.0,,2,0.0002,SGIS실제인접,16202.1,58673.1,27.61,False,539.3,0,실측(원자료 기반)
2018,강원도,양양군,0,1,63086.1,0.0,,0,0.0003,SGIS실제인접,16202.1,58673.1,27.61,False,539.3,0,실측(원자료 기반)
2019,강원도,양양군,0,0,63086.1,0.0,110.3,0,0.0005,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,실측(원자료 기반)
2020,강원도,양양군,0,0,63086.1,0.0,-100.0,0,0.0016,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,실측(원자료 기반)
2021,강원도,양양군,0,0,63086.1,0.0,,0,0.0006,SGIS실제인접,16202.1,58673.1,27.61,False,158.88,0,실측(원자료 기반)
2022,강원도,양양군,0,0,63086.1,0.0,,0,0.0,centroid근접(대체),16202.1,58673.1,27.61,False,278.58,0,실측(원자료 기반)
2023,강원도,양양군,0,0,63086.1,0.0,,1,0.0016,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,양양군,0,0,63086.1,0.0,-15.66,2,0.0014,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,양양군,0,0,63086.1,0.0,24.83,3,0.0023,SGIS실제인접,16202.1,58673.1,27.61,False,277.86,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,영월군,0,0,112597.8,0.0,,0,0.0026,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,영월군,0,0,112597.8,0.0,,0,0.0003,SGIS실제인접,27435.6,106891.6,25.67,False,453.93,0,실측(원자료 기반)
2018,강원도,영월군,0,0,112597.8,0.0,,0,0.0001,SGIS실제인접,27435.6,106891.6,25.67,False,453.93,0,실측(원자료 기반)
2019,강원도,영월군,0,0,112597.8,0.0,,0,0.0004,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,실측(원자료 기반)
2020,강원도,영월군,0,0,112597.8,0.0,,0,0.0005,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,실측(원자료 기반)
2021,강원도,영월군,0,0,112597.8,0.0,,0,0.0008,SGIS실제인접,27435.6,106891.6,25.67,False,73.55,0,실측(원자료 기반)
2022,강원도,영월군,0,0,112597.8,0.0,,0,0.0003,centroid근접(대체),27435.6,106891.6,25.67,False,190.97,0,실측(원자료 기반)
2023,강원도,영월군,0,0,112597.8,0.0,,0,0.002,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,영월군,0,0,112597.8,0.0,,0,0.0017,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,영월군,0,0,112597.8,0.0,,0,0.0028,SGIS실제인접,27435.6,106891.6,25.67,False,194.0,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,원주시,646,918,86627.5,0.0075,,1,0.0461,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,원주시,42,646,86627.5,0.0005,,2,0.003,SGIS실제인접,11207.7,67424.9,16.62,False,447.12,0,실측(원자료 기반)
2018,강원도,원주시,22,42,86627.5,0.0003,,3,0.0026,SGIS실제인접,11207.7,67424.9,16.62,False,447.12,0,실측(원자료 기반)
2019,강원도,원주시,137,22,86627.5,0.0016,127.2,4,0.0073,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,1,실측(원자료 기반)
2020,강원도,원주시,209,137,86627.5,0.0024,175.89,5,0.0116,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,1,실측(원자료 기반)
2021,강원도,원주시,221,209,86627.5,0.0026,193.67,6,0.0162,SGIS실제인접,11207.7,67424.9,16.62,False,110.72,1,실측(원자료 기반)
2022,강원도,원주시,434,221,86627.5,0.005,51.56,7,0.0011,centroid근접(대체),11207.7,67424.9,16.62,False,215.06,0,실측(원자료 기반)
2023,강원도,원주시,488,434,86627.5,0.0056,38.17,8,0.0348,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,원주시,411,488,86627.5,0.0047,31.04,9,0.0294,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,원주시,680,411,86627.5,0.0079,20.69,10,0.0485,SGIS실제인접,11207.7,67424.9,16.62,False,225.7,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,인제군,2,3,163984.0,0.0,,1,0.0268,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,인제군,0,2,163984.0,0.0,,0,0.0023,SGIS실제인접,31048.4,149331.5,20.79,False,536.44,0,실측(원자료 기반)
2018,강원도,인제군,4,0,163984.0,0.0,,1,0.0012,SGIS실제인접,31048.4,149331.5,20.79,False,536.44,0,실측(원자료 기반)
2019,강원도,인제군,1,4,163984.0,0.0,-87.5,2,0.0025,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,실측(원자료 기반)
2020,강원도,인제군,1,1,163984.0,0.0,-37.5,3,0.0186,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,실측(원자료 기반)
2021,강원도,인제군,0,1,163984.0,0.0,-58.33,0,0.0096,SGIS실제인접,31048.4,149331.5,20.79,False,171.39,0,실측(원자료 기반)
2022,강원도,인제군,0,0,163984.0,0.0,-50.0,0,0.0,centroid근접(대체),31048.4,149331.5,20.79,False,288.99,0,실측(원자료 기반)
2023,강원도,인제군,2,0,163984.0,0.0,-100.0,1,0.0203,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,인제군,2,2,163984.0,0.0,-15.66,2,0.0171,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,인제군,3,2,163984.0,0.0,24.83,3,0.0283,SGIS실제인접,31048.4,149331.5,20.79,False,291.8,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,정선군,96,137,121856.8,0.0008,,1,0.0002,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,정선군,51,96,121856.8,0.0004,,2,0.0,SGIS실제인접,27097.7,118491.0,22.87,False,480.36,0,실측(원자료 기반)
2018,강원도,정선군,36,51,121856.8,0.0003,,3,0.0,SGIS실제인접,27097.7,118491.0,22.87,False,480.36,0,실측(원자료 기반)
2019,강원도,정선군,74,36,121856.8,0.0006,9.72,4,0.0,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,실측(원자료 기반)
2020,강원도,정선군,34,74,121856.8,0.0003,7.36,5,0.0,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,실측(원자료 기반)
2021,강원도,정선군,15,34,121856.8,0.0001,-1.46,6,0.0,SGIS실제인접,27097.7,118491.0,22.87,False,88.66,0,실측(원자료 기반)
2022,강원도,정선군,8,15,121856.8,0.0001,-52.2,7,0.0,centroid근접(대체),27097.7,118491.0,22.87,False,208.64,0,실측(원자료 기반)
2023,강원도,정선군,73,8,121856.8,0.0006,235.35,8,0.0001,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,정선군,61,73,121856.8,0.0005,248.76,9,0.0001,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,정선군,101,61,121856.8,0.0008,286.09,10,0.0002,SGIS실제인접,27097.7,118491.0,22.87,False,207.27,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,철원군,0,0,88970.1,0.0,,0,0.0554,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,철원군,0,0,88970.1,0.0,,0,0.0196,SGIS실제인접,919.4,8272.8,11.11,False,538.42,0,실측(원자료 기반)
2018,강원도,철원군,0,0,88970.1,0.0,,0,0.0169,SGIS실제인접,919.4,8272.8,11.11,False,538.42,0,실측(원자료 기반)
2019,강원도,철원군,0,0,88970.1,0.0,,0,0.0159,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,실측(원자료 기반)
2020,강원도,철원군,0,0,88970.1,0.0,,0,0.0261,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,실측(원자료 기반)
2021,강원도,철원군,0,0,88970.1,0.0,,0,0.0077,SGIS실제인접,919.4,8272.8,11.11,False,220.66,0,실측(원자료 기반)
2022,강원도,철원군,0,0,88970.1,0.0,,0,0.0347,centroid근접(대체),919.4,8272.8,11.11,False,328.32,0,실측(원자료 기반)
2023,강원도,철원군,0,0,88970.1,0.0,,0,0.0419,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,추정(시군구 평균비중 x 국가총량)
2024,강원도,철원군,0,0,88970.1,0.0,,0,0.0353,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,추정(시군구 평균비중 x 국가총량)
2025,강원도,철원군,0,0,88970.1,0.0,,0,0.0584,SGIS실제인접,919.4,8272.8,11.11,False,338.48,0,추정(시군구 평균비중 x 국가총량)
2016,강원도,춘천시,16983,24148,111462.9,0.1524,,1,0.0045,SGIS실제인접,18424.5,93810.4,19.64,False,290.4,0,추정(시군구 평균비중 x 국가총량)
2017,강원도,춘천시,1451,16983,111462.9,0.013,,2,0.0014,SGIS실제인접,18424.5,93810.4,19.64,False,505.2,1,실측(원자료 기반)
2018,강원도,춘천시,659,1451,111462.9,0.0059,,3,0.0004,SGIS실제인접,18424.5,93810.4,19.64,False,505.2,0,실측(원자료 기반)
