year,sigungu_cd,sigungu_nm,sido,sigungu_full_nm,log_resource_budget_per_pine_ha,log_surveillance_budget_per_pine_ha,log_movement_budget_per_pine_ha,resource_local_budget,surveillance_local_budget,movement_local_budget,included_local_budget,surveillance_share,movement_share_included_budget,prev_infected_sites,current_infected_sites,recurrent_sites_300m,recurrence_rate_300m,pine_area_ha_2024,pine_area_positive,pine_area_observed,budget_observed,budget_missing_reason
2016,11110,종로구,서울특별시,서울특별시 종로구,13.099115690880318,0.0,0.0,112266000.0,0.0,0.0,112266000.0,0.0,0.0,,0,,,229.8134676,1,1,1,observed
2016,11140,중구,서울특별시,서울특별시 중구,15.87266097227843,0.0,0.0,45970000.0,0.0,0.0,45970000.0,0.0,0.0,,0,,,5.875779448,1,1,1,observed
2016,11170,용산구,서울특별시,서울특별시 용산구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,97.82133097,1,1,1,observed
2016,11200,성동구,서울특별시,서울특별시 성동구,16.53516272851373,0.0,0.0,40141000.0,0.0,0.0,40141000.0,0.0,0.0,,0,,,2.64519861,1,1,1,observed
2016,11215,광진구,서울특별시,서울특별시 광진구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,118.8369231,1,1,1,observed
2016,11230,동대문구,서울특별시,서울특별시 동대문구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,10.2981028,1,1,1,observed
2016,11260,중랑구,서울특별시,서울특별시 중랑구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,75.0754959,1,1,1,observed
2016,11290,성북구,서울특별시,서울특별시 성북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,145.3357745,1,1,1,observed
2016,11305,강북구,서울특별시,서울특별시 강북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,116.5464482,1,1,1,observed
2016,11320,도봉구,서울특별시,서울특별시 도봉구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,73.48535137,1,1,1,observed
2016,11350,노원구,서울특별시,서울특별시 노원구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,333.7072077,1,1,1,observed
2016,11380,은평구,서울특별시,서울특별시 은평구,12.080764255728354,0.0,0.0,42151000.0,0.0,0.0,42151000.0,0.0,0.0,,0,,,238.8917162,1,1,1,observed
2016,11410,서대문구,서울특별시,서울특별시 서대문구,13.115495011287072,0.0,0.0,49002000.0,0.0,0.0,49002000.0,0.0,0.0,,0,,,98.67964302,1,1,1,observed
2016,11440,마포구,서울특별시,서울특별시 마포구,16.606956922539617,0.0,0.0,131276000.0,0.0,0.0,131276000.0,0.0,0.0,,0,,,8.051477975,1,1,1,observed
2016,11470,양천구,서울특별시,서울특별시 양천구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,8.976266249,1,1,1,observed
2016,11500,강서구,서울특별시,서울특별시 강서구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,29.06104224,1,1,1,observed
2016,11530,구로구,서울특별시,서울특별시 구로구,16.130949040094745,0.0,0.0,116386000.0,0.0,0.0,116386000.0,0.0,0.0,,0,,,11.48996298,1,1,1,observed
2016,11545,금천구,서울특별시,서울특별시 금천구,14.74897639881794,0.0,0.0,60240000.0,0.0,0.0,60240000.0,0.0,0.0,,0,,,23.6856916,1,1,1,observed
2016,11560,영등포구,서울특별시,서울특별시 영등포구,,,,0.0,0.0,0.0,0.0,,,,0,,,0.0,0,1,1,observed
2016,11590,동작구,서울특별시,서울특별시 동작구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,16.50561577,1,1,1,observed
2016,11620,관악구,서울특별시,서울특별시 관악구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,307.4659134,1,1,1,observed
2016,11650,서초구,서울특별시,서울특별시 서초구,14.977527912214336,0.0,0.0,236908000.0,0.0,0.0,236908000.0,0.0,0.0,,0,,,74.11773474,1,1,1,observed
2016,11680,강남구,서울특별시,서울특별시 강남구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,14.61743933,1,1,1,observed
2016,11710,송파구,서울특별시,서울특별시 송파구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,14.37900906,1,1,1,observed
2016,11740,강동구,서울특별시,서울특별시 강동구,15.335171750606753,0.0,0.0,111901000.0,0.0,0.0,111901000.0,0.0,0.0,,0,,,24.48237762,1,1,1,observed
2016,26110,중구,부산광역시,부산광역시 중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,1.906190097,1,1,1,observed
2016,26140,서구,부산광역시,부산광역시 서구,12.578616135119566,0.0,0.0,50112000.0,0.0,0.0,50112000.0,0.0,0.0,,0,,,172.6313452,1,1,1,observed
