"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","원자료_총대응예산_원","원자료_예찰예산_원","소나무림면적_ha","활동방제법인수","예산관측여부","예산결측사유","예산기반지수_사용가능여부","확장지수_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그"
"2016","11110","서울특별시","종로구","서울특별시 종로구","-0.2113556534","0.2597225359","-0.4404890539","-0.1484579724","13.07112052147904","0.0","0.0","112266000.0","0.0","236.3380504095327","0.0","1","observed","1","1","1","0"
"2016","11140","서울특별시","중구","서울특별시 중구","0.1770676472","0.63335812","-0.1824159768","0.100632417","15.907018831281558","0.0","0.0","45970000.0","0.0","5.677328911138141","0.0","1","observed","1","1","1","0"
"2016","11170","서울특별시","용산구","서울특별시 용산구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","97.12961906598258","0.0","1","observed","1","1","1","0"
"2016","11200","서울특별시","성동구","서울특별시 성동구","0.2459342514","0.6996028942","-0.136660183","0.1447955999","16.409817417292107","0.0","0.0","40141000.0","0.0","2.9984379544998263","0.0","1","observed","1","1","1","0"
"2016","11215","서울특별시","광진구","서울특별시 광진구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","116.90856639083398","0.0","1","observed","1","1","1","0"
"2016","11230","서울특별시","동대문구","서울특별시 동대문구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","9.21884241031151","0.0","1","observed","1","1","1","0"
"2016","11260","서울특별시","중랑구","서울특별시 중랑구","-2.0016623643","-1.4624251639","-0.3556338264","0.0229206943","0.0","0.0","4.848204860781462","0.0","0.0","79.04433266810034","1.0","1","observed","1","1","1","0"
"2016","11290","서울특별시","성북구","서울특별시 성북구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","145.07422297425637","0.0","1","observed","1","1","1","0"
"2016","11305","서울특별시","강북구","서울특별시 강북구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","115.00982494842624","0.0","1","observed","1","1","1","0"
"2016","11320","서울특별시","도봉구","서울특별시 도봉구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","73.28591370155792","0.0","1","observed","1","1","1","0"
"2016","11350","서울특별시","노원구","서울특별시 노원구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","342.629869805798","0.0","1","observed","1","1","1","0"
"2016","11380","서울특별시","은평구","서울특별시 은평구","-0.3450070106","0.1311594377","0.4622286095","0.7924568719","12.09532515246275","0.0","3.7721619326673594","42151000.0","0.0","235.43842164253857","1.0","1","observed","1","1","1","0"
"2016","11410","서울특별시","서대문구","서울특별시 서대문구","-0.2020093058","0.2687130574","-0.4342792291","-0.1424642914","13.13935868139598","0.0","0.0","49002000.0","0.0","96.35265559778222","0.0","1","observed","1","1","1","0"
"2016","11440","서울특별시","마포구","서울특별시 마포구","0.2735209267","0.7261393135","-0.1183312667","0.1624865461","16.61122913959625","0.0","0.0","131276000.0","0.0","8.01715368311193","0.0","1","observed","1","1","1","0"
"2016","11470","서울특별시","양천구","서울특별시 양천구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","10.490697981839414","0.0","1","observed","1","1","1","0"
"2016","11500","서울특별시","강서구","서울특별시 강서구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","26.64259896071815","0.0","1","observed","1","1","1","0"
"2016","11530","서울특별시","구로구","서울특별시 구로구","0.1617114628","0.6185865629","-0.1926188091","0.0907847123","15.794902545993445","0.0","0.0","116386000.0","0.0","16.079101788615233","0.0","1","observed","1","1","1","0"
"2016","11545","서울특별시","금천구","서울특별시 금천구","0.0077395335","0.47047652","1.2742484609","1.6167718089","14.670745644841997","0.0","5.969796480460376","60240000.0","0.0","25.61304832421682","1.0","1","observed","1","1","1","0"
"2016","11560","서울특별시","영등포구","서울특별시 영등포구","","","","","","","","0.0","0.0","0.0","0.0","1","observed","0","0","1","0"
"2016","11590","서울특별시","동작구","서울특별시 동작구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","19.78023516826956","0.0","1","observed","1","1","1","0"
"2016","11620","서울특별시","관악구","서울특별시 관악구","-2.0016623643","-1.4624251639","-0.7083967833","-0.342332436","0.0","0.0","3.50614143500919","0.0","0.0","309.4111662481816","1.0","1","observed","1","1","1","0"
"2016","11650","서울특별시","서초구","서울특별시 서초구","0.0380985039","0.4996796899","-0.2747487344","0.0115134637","14.89239803492421","0.0","0.0","236908000.0","0.0","80.70372588686055","0.0","1","observed","1","1","1","0"
"2016","11680","서울특별시","강남구","서울특별시 강남구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","13.375270459764742","0.0","1","observed","1","1","1","0"
"2016","11710","서울특별시","송파구","서울특별시 송파구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","28.51808124942784","0.0","1","observed","1","1","1","0"
"2016","11740","서울특별시","강동구","서울특별시 강동구","0.1395922549","0.5973094585","-0.2073150748","0.076599976","15.63340908263499","0.0","0.0","111901000.0","0.0","18.168988088480827","0.0","1","observed","1","1","1","0"
"2016","26110","부산광역시","중구","부산광역시 중구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","1.9206728470322727","0.0","1","observed","1","1","1","0"
"2016","26140","부산광역시","서구","부산광역시 서구","-0.2800300341","0.1936626669","-0.4861171322","-0.192497885","12.569725368834265","0.0","0.0","50112000.0","0.0","174.17301864018526","0.0","1","observed","1","1","1","0"
"2016","26170","부산광역시","동구","부산광역시 동구","-0.2014638514","0.2692377457","-0.4339168227","-0.1421144992","13.143341071581599","0.0","0.0","62326000.0","0.0","122.06456414754766","0.0","1","observed","1","1","1","0"
"2016","26200","부산광역시","영도구","부산광역시 영도구","-0.1647589627","0.3045452376","-0.4095296565","-0.1185761712","13.411325334489518","0.0","0.0","193850000.0","0.0","290.4035146521948","0.0","1","observed","1","1","1","0"
"2016","26230","부산광역시","부산진구","부산광역시 부산진구","-0.4028468387","0.0755216376","-0.5677180831","-0.2712585712","11.673033620168843","0.0","0.0","46088000.0","0.0","392.6969012927685","0.0","1","observed","1","1","1","0"
"2016","26260","부산광역시","동래구","부산광역시 동래구","-0.3374041549","0.1384728441","0.4324570539","0.7612765253","12.150833989349259","0.0","3.639680185615748","51039000.0","0.0","269.6896622776364","1.0","1","observed","1","1","1","0"
"2016","26290","부산광역시","남구","부산광역시 남구","-0.20724904","0.2636728058","-0.437760571","-0.1458244591","13.101103115200354","0.0","0.0","205664000.0","0.0","420.1674216945598","0.0","1","observed","1","1","1","0"
"2016","26320","부산광역시","북구","부산광역시 북구","-0.4004917656","0.0777870503","-0.5661533444","-0.269748296","11.690228128505947","0.0","0.0","102053000.0","0.0","854.7278301363647","0.0","1","observed","1","1","1","0"
"2016","26350","부산광역시","해운대구","부산광역시 해운대구","-0.4671625686","0.0136544806","-0.6104502217","-0.3125033426","11.203461198463696","0.0","0.0","136054000.0","0.0","1854.0261530217567","0.0","1","observed","1","1","1","0"
"2016","26380","부산광역시","사하구","부산광역시 사하구","-0.3231225336","0.1522107478","-0.5147483032","-0.2201324978","12.255104833724031","0.0","0.0","106177000.0","0.0","505.4848147004281","0.0","1","observed","1","1","1","0"
"2016","26410","부산광역시","금정구","부산광역시 금정구","-0.443413577","0.0364993211","-0.1060149727","0.2086843894","11.376853796666856","0.0","1.8590600692567483","161096000.0","0.0","1845.8011310101283","1.0","1","observed","1","1","1","0"
"2016","26440","부산광역시","강서구","부산광역시 강서구","-0.415366388","0.0634787217","-0.5760362211","-0.2792871818","11.581627752318523","0.0","0.0","192736000.0","0.0","1799.408931548245","0.0","1","observed","1","1","1","0"
"2016","26470","부산광역시","연제구","부산광역시 연제구","-0.202086174","0.2686391156","-0.4343303012","-0.1425135859","13.13879746275548","0.0","0.0","46266000.0","0.0","91.02392760698054","0.0","1","observed","1","1","1","0"
"2016","26500","부산광역시","수영구","부산광역시 수영구","-0.1878820777","0.2823024458","-0.4248929301","-0.1334046991","13.24250229329797","0.0","0.0","50994000.0","0.0","90.4428371108635","0.0","1","observed","1","1","1","0"
"2016","26530","부산광역시","사상구","부산광역시 사상구","-0.4309537197","0.0484848174","-0.5863926303","-0.289283118","11.467823849343837","0.0","0.0","51068000.0","0.0","534.2453807745762","0.0","1","observed","1","1","1","0"
"2016","26710","부산광역시","기장군","부산광역시 기장군","-0.3752651339","0.1020532755","0.1167609146","0.4361688663","11.87440905186701","0.0","2.534336654957796","741957000.0","0.0","5168.820314992766","6.0","1","observed","1","1","1","0"
"2016","27110","대구광역시","중구","대구광역시 중구","","","","","","","","0.0","0.0","0.0","0.0","1","observed","0","0","1","0"
"2016","27140","대구광역시","동구","대구광역시 동구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","5054.679670192707","0.0","1","observed","1","1","1","0"
"2016","27170","대구광역시","서구","대구광역시 서구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","29.4744631745872","0.0","1","observed","1","1","1","0"
"2016","27200","대구광역시","남구","대구광역시 남구","-0.5423706332","-0.0586903275","-0.6604193575","-0.3607332146","10.654363286915208","0.0","0.0","12405000.0","0.0","292.73579718212096","0.0","1","observed","1","1","1","0"
"2016","27230","대구광역시","북구","대구광역시 북구","-0.4674899014","0.0133396097","-0.6106677055","-0.3127132564","11.20107132536607","0.0","0.0","170300000.0","0.0","2326.253889395725","0.0","1","observed","1","1","1","0"
"2016","27260","대구광역시","수성구","대구광역시 수성구","-0.6569997938","-0.1689554257","-0.73658034","-0.4342432801","9.817449944433896","0.0","0.0","19962000.0","0.0","1087.835883476674","0.0","1","observed","1","1","1","0"
"2016","27290","대구광역시","달서구","대구광역시 달서구","-0.5049061554","-0.022652165","-0.6355275113","-0.3367077729","10.927893348117179","0.0","0.0","45937000.0","0.0","824.6062940159311","0.0","1","observed","1","1","1","0"
"2016","27710","대구광역시","달성군","대구광역시 달성군","-0.654463611","-0.1665157982","-0.5474508464","-0.2385356492","9.835966744297137","0.0","0.7131199582639293","179682000.0","0.0","9612.176215481291","1.0","1","observed","1","1","1","0"
"2016","27720","대구광역시","군위군","대구광역시 군위군","","","","","","","0.7344012765873833","","","18446.207007386136","2.0","0","administrative_history","0","0","1","0"
"2016","28110","인천광역시","중구","인천광역시 중구","-0.5204602578","-0.037614105","-0.6458618426","-0.3466823996","10.814332053833517","0.0","0.0","49100000.0","0.0","987.3826441590792","0.0","1","observed","1","1","1","0"
"2016","28140","인천광역시","동구","인천광역시 동구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","3.958094174333669","0.0","1","observed","1","1","1","0"
"2016","28177","인천광역시","미추홀구","인천광역시 미추홀구","","","","","","","0.0","","","18.833217834767712","0.0","0","administrative_history","0","0","1","0"
"2016","28185","인천광역시","연수구","인천광역시 연수구","-0.1181193149","0.349409261","-0.3785417178","-0.0886668223","13.751843779822229","0.0","0.0","44213000.0","0.0","47.1194896000123","0.0","1","observed","1","1","1","0"
"2016","28200","인천광역시","남동구","인천광역시 남동구","-0.1189056061","0.3486529048","-0.379064139","-0.0891710597","13.746103027749328","0.0","0.0","53873000.0","0.0","57.74507283302972","0.0","1","observed","1","1","1","0"
"2016","28237","인천광역시","부평구","인천광역시 부평구","-0.2432433246","0.2290488645","-0.4616756033","-0.1689070866","12.838307008759289","0.0","0.0","12897000.0","0.0","34.26762162527105","0.0","1","observed","1","1","1","0"
"2016","28245","인천광역시","계양구","인천광역시 계양구","-0.1058986638","0.361164658","-0.3704221713","-0.0808298909","13.841067376052298","0.0","0.0","42152000.0","0.0","41.088418340379626","0.0","1","observed","1","1","1","0"
"2016","28260","인천광역시","서구","인천광역시 서구","-0.171053411","0.2984904261","0.801689551","1.1358219553","13.365369246768221","0.0","4.6239142146816326","63190000.0","0.0","99.1158076294085","1.0","1","observed","1","1","1","0"
"2016","28710","인천광역시","강화군","인천광역시 강화군","","","","","","","","87871000.0","0.0","0.0","0.0","1","observed","0","0","1","0"
"2016","28720","인천광역시","옹진군","인천광역시 옹진군","-0.378052441","0.0993720844","-0.5512443893","-0.2553582733","11.85405878132491","0.0","0.0","162241000.0","0.0","1153.4834967443164","0.0","1","observed","1","1","1","0"
"2016","29110","광주광역시","동구","광주광역시 동구","-0.8594898694","-0.363736474","-0.8711171632","-0.5640973122","8.339059584769812","0.0","0.0","3277000.0","0.0","783.380373911657","0.0","1","observed","1","1","1","0"
"2016","29140","광주광역시","서구","광주광역시 서구","-0.2229993595","0.2485221188","0.893018065","1.2328074239","12.986109229692937","0.0","5.102671896535852","53384000.0","0.0","122.35353669199284","2.0","1","observed","1","1","1","0"
"2016","29155","광주광역시","남구","광주광역시 남구","-0.7368310639","-0.2457474286","-0.7896211887","-0.4854379486","9.234597773935093","0.0","0.0","4369000.0","0.0","426.4710737356274","0.0","1","observed","1","1","1","0"
"2016","29170","광주광역시","북구","광주광역시 북구","-0.7290696144","-0.2382814663","-0.2127804812","0.1114647098","9.291264512263284","0.0","2.174933758285938","13897000.0","0.0","1281.7880110647875","1.0","1","observed","1","1","1","0"
"2016","29200","광주광역시","광산구","광주광역시 광산구","-0.5553008877","-0.0711283125","-0.6690103729","-0.3690252046","10.559958840068703","0.0","0.0","94477000.0","0.0","2450.222389842844","0.0","1","observed","1","1","1","0"
"2016","30110","대전광역시","동구","대전광역시 동구","-0.5282717501","-0.0451282049","-0.6510518913","-0.3516917995","10.75729995082818","0.0","0.0","31548000.0","0.0","671.6531707444556","0.0","1","observed","1","1","1","0"
"2016","30140","대전광역시","중구","대전광역시 중구","-0.446299011","0.0337237388","-0.596588225","-0.299123837","11.355787095723562","0.0","0.0","31607000.0","0.0","369.8560141423794","0.0","1","observed","1","1","1","0"
"2016","30170","대전광역시","서구","대전광역시 서구","-0.4591535421","0.0213585944","-0.6051289289","-0.3073672667","11.261935509232869","0.0","0.0","39404000.0","0.0","506.46500818257937","0.0","1","observed","1","1","1","0"
"2016","30200","대전광역시","유성구","대전광역시 유성구","-0.6349467351","-0.147741952","-0.7219280246","-0.4201009643","9.978460449524402","0.0","0.0","33999000.0","0.0","1577.23345018462","0.0","1","observed","1","1","1","0"
"2016","30230","대전광역시","대덕구","대전광역시 대덕구","-0.2762701976","0.1972793621","-0.483619052","-0.1900867549","12.59717612627501","0.0","0.0","37822000.0","0.0","127.89744823706026","0.0","1","observed","1","1","1","0"
"2016","31110","울산광역시","중구","울산광역시 중구","-0.0316984222","0.4325400121","-0.3211226452","-0.0332463216","14.382807120638784","0.0","0.0","1402471470.0","0.0","795.2808314037114","0.0","1","observed","1","1","1","0"
"2016","31140","울산광역시","남구","울산광역시 남구","-0.1181475979","0.3493820547","-0.3785605094","-0.0886849598","13.751637283622694","0.0","0.0","415098000.0","0.0","442.477217492871","0.0","1","observed","1","1","1","0"
"2016","31170","울산광역시","동구","울산광역시 동구","-0.0889943167","0.3774254373","-0.3591907214","-0.0699893714","13.96448687517757","0.0","0.0","1016838000.0","0.0","876.0977186640777","0.0","1","observed","1","1","1","0"
"2016","31200","울산광역시","북구","울산광역시 북구","-0.1493224191","0.3193940944","-0.030151463","0.2735144283","13.524028326181972","0.0","1.4043002114220589","2431608000.0","0.0","3254.4924595423768","1.0","1","observed","1","1","1","0"
"2016","31710","울산광역시","울주군","울산광역시 울주군","-0.1538810104","0.3150090538","0.181352944","0.4927201704","13.490745818189568","0.0","2.2204775951579006","11441016000.0","0.0","15831.01382974732","13.0","1","observed","1","1","1","0"
"2016","36110","세종특별자치시","세종시","세종특별자치시","","","","","","","0.0","","","1266.0621896527832","0.0","0","metropolitan_headquarters","0","0","1","0"
"2016","41111","경기도","수원시 장안구","경기도 수원시 장안구","","","","","","","0.0","","","115.40834556044857","0.0","0","city_district_granularity","0","0","1","0"
"2016","41113","경기도","수원시 권선구","경기도 수원시 권선구","","","","","","","0.0","","","253.7072431722083","0.0","0","city_district_granularity","0","0","1","0"
"2016","41115","경기도","수원시 팔달구","경기도 수원시 팔달구","","","","","","","0.0","","","26.09973735007635","0.0","0","city_district_granularity","0","0","1","0"
"2016","41117","경기도","수원시 영통구","경기도 수원시 영통구","","","","","","","0.0","","","26.157524481531816","0.0","0","city_district_granularity","0","0","1","0"
"2016","41131","경기도","성남시 수정구","경기도 성남시 수정구","","","","","","","0.0","","","71.5983676018642","0.0","0","city_district_granularity","0","0","1","0"
"2016","41133","경기도","성남시 중원구","경기도 성남시 중원구","","","","","","","5.668833403165514","","","34.63846709358737","1.0","0","city_district_granularity","0","0","1","0"
"2016","41135","경기도","성남시 분당구","경기도 성남시 분당구","","","","","","","0.0","","","97.95033572861928","0.0","0","city_district_granularity","0","0","1","0"
"2016","41150","경기도","의정부시","경기도 의정부시","-0.1795948877","0.2902741331","-0.4193868221","-0.1280902409","13.30300748999024","0.0","0.0","171404000.0","0.0","286.15341427612697","0.0","1","observed","1","1","1","0"
"2016","41171","경기도","안양시 만안구","경기도 안양시 만안구","","","","","","","0.0","","","265.8049176907011","0.0","0","city_district_granularity","0","0","1","0"
"2016","41173","경기도","안양시 동안구","경기도 안양시 동안구","","","","","","","0.0","","","127.51675699944526","0.0","0","city_district_granularity","0","0","1","0"
"2016","41190","경기도","부천시","경기도 부천시","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","35.10405032799517","0.0","1","observed","1","1","1","0"
"2016","41210","경기도","광명시","경기도 광명시","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","42.54530963524327","0.0","1","observed","1","1","1","0"
"2016","41220","경기도","평택시","경기도 평택시","-0.3092460686","0.16555892","-0.5055286142","-0.2112337163","12.356417612156674","0.0","0.0","158024000.0","0.0","679.8309525670219","0.0","1","observed","1","1","1","0"
"2016","41250","경기도","동두천시","경기도 동두천시","-0.1113553115","0.355915751","-0.3740476332","-0.0843291622","13.801228112855368","0.0","0.0","612953000.0","0.0","621.7709145937123","0.0","1","observed","1","1","1","0"
"2016","41271","경기도","안산시 상록구","경기도 안산시 상록구","","","","","","","5.005618997732435","","","67.45388059852978","1.0","0","city_district_granularity","0","0","1","0"
"2016","41273","경기도","안산시 단원구","경기도 안산시 단원구","","","","","","","3.574586113436977","","","865.0556360091556","3.0","0","city_district_granularity","0","0","1","0"
"2016","41281","경기도","고양시 덕양구","경기도 고양시 덕양구","","","","","","","0.0","","","355.8002227264187","0.0","0","city_district_granularity","0","0","1","0"
"2016","41285","경기도","고양시 일산동구","경기도 고양시 일산동구","","","","","","","0.0","","","37.31277505696144","0.0","0","city_district_granularity","0","0","1","0"
"2016","41287","경기도","고양시 일산서구","경기도 고양시 일산서구","","","","","","","0.0","","","3.388930813065514","0.0","0","city_district_granularity","0","0","1","0"
"2016","41290","경기도","과천시","경기도 과천시","-0.1519243564","0.3168912158","0.604066486","0.930309326","13.505031449162722","0.0","3.8237175555317333","163732000.0","0.0","223.34360555692547","1.0","1","observed","1","1","1","0"
"2016","41310","경기도","구리시","경기도 구리시","-0.2337573504","0.2381736969","-0.4553730088","-0.162823865","12.907564590254138","0.0","0.0","64998000.0","0.0","161.14505903434895","0.0","1","observed","1","1","1","0"
"2016","41360","경기도","남양주시","경기도 남양주시","-0.264784232","0.2083280439","0.0287823144","0.3399212266","12.68103574639855","0.0","1.920364028873773","1104467000.0","0.0","3434.395016144184","2.0","1","observed","1","1","1","0"
"2016","41370","경기도","오산시","경기도 오산시","-0.2366033902","0.235436009","-0.4572639517","-0.1646489903","12.886785508085724","0.0","0.0","73619000.0","0.0","186.35076400480355","0.0","1","observed","1","1","1","0"
"2016","41390","경기도","시흥시","경기도 시흥시","-0.040801692","0.4237833141","-0.3271709663","-0.0390841202","14.31634368395799","0.0","0.0","233215000.0","0.0","141.33433515643677","0.0","1","observed","1","1","1","0"
