"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","보조_소나무림면적당_이동단속예산_log","보조_예찰예산비중","보조_이동단속예산비중","보조_반출금지구역_지정여부","보조_반출금지구역_면적비율","원자료_총대응예산_원","원자료_예찰예산_원","원자료_이동단속예산_원","원자료_포함대응예산_원","원자료_직접대응예산_원","원자료_광의대응예산_원","소나무림면적_ha","활동방제법인수","소나무림1만ha당_방제법인수","반출금지구역_면적_ha","예산관측여부","예산결측사유","소나무림면적_관측여부","소나무림면적_양수여부","예산기반지수_사용가능여부","확장지수_사용가능여부","분석단위_매칭여부","법인자료_관측여부","법인자료_연도완전여부","법인자료_최신성주의플래그","법인자료_기준일","법인자료_지역매칭여부","반출금지구역_이력완전여부","반출금지구역_날짜품질플래그","반출금지구역_지역매칭여부"
"2016","11110","서울특별시","종로구","서울특별시 종로구","-0.2113556534","0.2597225359","-0.4404890539","-0.1484579724","13.07112052147904","0.0","0.0","0.0","0.0","0.0","","","112266000.0","0.0","0.0","112266000.0","0.0","112266000.0","236.3380504095327","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11140","서울특별시","중구","서울특별시 중구","0.1770676472","0.63335812","-0.1824159768","0.100632417","15.907018831281558","0.0","0.0","0.0","0.0","0.0","","","45970000.0","0.0","0.0","45970000.0","0.0","45970000.0","5.677328911138141","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11170","서울특별시","용산구","서울특별시 용산구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","97.12961906598258","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11200","서울특별시","성동구","서울특별시 성동구","0.2459342514","0.6996028942","-0.136660183","0.1447955999","16.409817417292107","0.0","0.0","0.0","0.0","0.0","","","40141000.0","0.0","0.0","40141000.0","0.0","40141000.0","2.9984379544998263","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11215","서울특별시","광진구","서울특별시 광진구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","116.90856639083398","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11230","서울특별시","동대문구","서울특별시 동대문구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","9.21884241031151","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11260","서울특별시","중랑구","서울특별시 중랑구","-2.0016623643","-1.4624251639","-0.3556338264","0.0229206943","0.0","0.0","4.848204860781462","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","79.04433266810034","1.0","126.51128376260765","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11290","서울특별시","성북구","서울특별시 성북구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","145.07422297425637","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11305","서울특별시","강북구","서울특별시 강북구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","115.00982494842624","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","11320","서울특별시","도봉구","서울특별시 도봉구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","73.28591370155792","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
