"연도","시군구코드","시도","시군구","방제법인수_소나무림1만ha당_log","이동통제예산_소나무림ha당_log","예찰진단예산비중","이동통제예산비중","반출금지구역_지정여부","반출금지구역면적비율","예산자료_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그","반출금지구역자료_완전성플래그"
"2016","11110","서울특별시","종로구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11140","서울특별시","중구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11170","서울특별시","용산구","0.0","0.0","","","","","1","1","0","0"
"2016","11200","서울특별시","성동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11215","서울특별시","광진구","0.0","0.0","","","","","1","1","0","0"
"2016","11230","서울특별시","동대문구","0.0","0.0","","","","","1","1","0","0"
"2016","11260","서울특별시","중랑구","4.848204860781462","0.0","","","","","1","1","0","0"
"2016","11290","서울특별시","성북구","0.0","0.0","","","","","1","1","0","0"
"2016","11305","서울특별시","강북구","0.0","0.0","","","","","1","1","0","0"
"2016","11320","서울특별시","도봉구","0.0","0.0","","","","","1","1","0","0"
"2016","11350","서울특별시","노원구","0.0","0.0","","","","","1","1","0","0"
"2016","11380","서울특별시","은평구","3.7721619326673594","0.0","0.0","0.0","","","1","1","0","0"
"2016","11410","서울특별시","서대문구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11440","서울특별시","마포구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11470","서울특별시","양천구","0.0","0.0","","","","","1","1","0","0"
"2016","11500","서울특별시","강서구","0.0","0.0","","","","","1","1","0","0"
"2016","11530","서울특별시","구로구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11545","서울특별시","금천구","5.969796480460376","0.0","0.0","0.0","","","1","1","0","0"
"2016","11560","서울특별시","영등포구","","","","","","","0","1","0","0"
"2016","11590","서울특별시","동작구","0.0","0.0","","","","","1","1","0","0"
"2016","11620","서울특별시","관악구","3.50614143500919","0.0","","","","","1","1","0","0"
"2016","11650","서울특별시","서초구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","11680","서울특별시","강남구","0.0","0.0","","","","","1","1","0","0"
"2016","11710","서울특별시","송파구","0.0","0.0","","","","","1","1","0","0"
"2016","11740","서울특별시","강동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26110","부산광역시","중구","0.0","0.0","","","","","1","1","0","0"
"2016","26140","부산광역시","서구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26170","부산광역시","동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26200","부산광역시","영도구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26230","부산광역시","부산진구","0.0","0.0","0.0","0.0","1.0","2.7782241123074805","1","1","0","0"
"2016","26260","부산광역시","동래구","3.639680185615748","0.0","0.0","0.0","","","1","1","0","0"
"2016","26290","부산광역시","남구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26320","부산광역시","북구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26350","부산광역시","해운대구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26380","부산광역시","사하구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26410","부산광역시","금정구","1.8590600692567483","0.0","0.0","0.0","1.0","3.045290148307508","1","1","0","0"
"2016","26440","부산광역시","강서구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26470","부산광역시","연제구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26500","부산광역시","수영구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26530","부산광역시","사상구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","26710","부산광역시","기장군","2.534336654957796","0.0","0.0","0.0","","","1","1","0","0"
"2016","27110","대구광역시","중구","","","","","","","0","1","0","0"
"2016","27140","대구광역시","동구","0.0","0.0","","","","","1","1","0","0"
"2016","27170","대구광역시","서구","0.0","0.0","","","","","1","1","0","0"
"2016","27200","대구광역시","남구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","27230","대구광역시","북구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","27260","대구광역시","수성구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","27290","대구광역시","달서구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","27710","대구광역시","달성군","0.7131199582639293","0.0","0.0","0.0","","","1","1","0","0"
"2016","27720","대구광역시","군위군","0.7344012765873833","","","","1.0","0.8953602219354226","0","1","0","0"
"2016","28110","인천광역시","중구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","28140","인천광역시","동구","0.0","0.0","","","","","1","1","0","0"
"2016","28177","인천광역시","미추홀구","0.0","","","","","","0","1","0","0"
"2016","28185","인천광역시","연수구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","28200","인천광역시","남동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","28237","인천광역시","부평구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","28245","인천광역시","계양구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","28260","인천광역시","서구","4.6239142146816326","0.0","0.0","0.0","","","1","1","0","0"
"2016","28710","인천광역시","강화군","","","0.0","0.0","","","0","1","0","0"
"2016","28720","인천광역시","옹진군","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","29110","광주광역시","동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","29140","광주광역시","서구","5.102671896535852","0.0","0.0","0.0","1.0","25.13208921570337","1","1","0","0"
"2016","29155","광주광역시","남구","0.0","0.0","0.0","0.0","1.0","9.918609398165675","1","1","0","0"
"2016","29170","광주광역시","북구","2.174933758285938","0.0","0.0","0.0","","","1","1","0","0"
"2016","29200","광주광역시","광산구","0.0","0.0","0.0","0.0","1.0","3.61885518504658","1","1","0","0"
"2016","30110","대전광역시","동구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","30140","대전광역시","중구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","30170","대전광역시","서구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","30200","대전광역시","유성구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","30230","대전광역시","대덕구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","31110","울산광역시","중구","0.0","0.0","0.0","0.0","1.0","4.654959422906975","1","1","0","0"
"2016","31140","울산광역시","남구","0.0","0.0","0.0","0.0","1.0","16.502544563478338","1","1","0","0"
"2016","31170","울산광역시","동구","0.0","0.0","0.0","0.0","1.0","3.878562776286484","1","1","0","0"
"2016","31200","울산광역시","북구","1.4043002114220589","0.0","0.0","0.0","1.0","3.14519087914535","1","1","0","0"
"2016","31710","울산광역시","울주군","2.2204775951579006","0.0","0.0","0.0","1.0","4.601726761372096","1","1","0","0"
"2016","36110","세종특별자치시","세종시","0.0","","","","1.0","7.1781623953973215","0","1","0","0"
"2016","41111","경기도","수원시 장안구","0.0","","","","","","0","1","0","0"
"2016","41113","경기도","수원시 권선구","0.0","","","","","","0","1","0","0"
"2016","41115","경기도","수원시 팔달구","0.0","","","","","","0","1","0","0"
"2016","41117","경기도","수원시 영통구","0.0","","","","","","0","1","0","0"
"2016","41131","경기도","성남시 수정구","0.0","","","","1.0","125.29615269840905","0","1","0","0"
"2016","41133","경기도","성남시 중원구","5.668833403165514","","","","","","0","1","0","0"
"2016","41135","경기도","성남시 분당구","0.0","","","","","","0","1","0","0"
"2016","41150","경기도","의정부시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41171","경기도","안양시 만안구","0.0","","","","","","0","1","0","0"
"2016","41173","경기도","안양시 동안구","0.0","","","","","","0","1","0","0"
"2016","41190","경기도","부천시","0.0","0.0","","","","","1","1","0","0"
"2016","41210","경기도","광명시","0.0","0.0","","","","","1","1","0","0"
"2016","41220","경기도","평택시","0.0","0.0","0.0","0.0","1.0","8.893387359269948","1","1","0","0"
"2016","41250","경기도","동두천시","0.0","0.0","0.0","0.0","1.0","15.385087619048202","1","1","0","0"
"2016","41271","경기도","안산시 상록구","5.005618997732435","","","","","","0","1","0","0"
"2016","41273","경기도","안산시 단원구","3.574586113436977","","","","","","0","1","0","0"
"2016","41281","경기도","고양시 덕양구","0.0","","","","","","0","1","0","0"
"2016","41285","경기도","고양시 일산동구","0.0","","","","","","0","1","0","0"
"2016","41287","경기도","고양시 일산서구","0.0","","","","","","0","1","0","0"
"2016","41290","경기도","과천시","3.8237175555317333","0.0","0.0","0.0","1.0","2.256612624942787","1","1","0","0"
"2016","41310","경기도","구리시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41360","경기도","남양주시","1.920364028873773","0.0","0.0","0.0","1.0","9.533556811633055","1","1","0","0"
"2016","41370","경기도","오산시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41390","경기도","시흥시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41410","경기도","군포시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41430","경기도","의왕시","0.0","0.0","0.0","0.0","1.0","15.65362748477599","1","1","0","0"
"2016","41450","경기도","하남시","0.0","0.0","0.0","0.0","1.0","41.256301398500156","1","1","0","0"
"2016","41461","경기도","용인시 처인구","3.0090012309611636","","","","1.0","5.4039532269501285","0","1","0","0"
"2016","41463","경기도","용인시 기흥구","3.442809018477251","","","","","","0","1","0","0"
"2016","41465","경기도","용인시 수지구","0.0","","","","","","0","1","0","0"
"2016","41480","경기도","파주시","0.0","0.0","0.0","0.0","1.0","5.975364805733172","1","1","0","0"
"2016","41500","경기도","이천시","3.84110346687409","0.0","0.0","0.0","1.0","12.901193615531799","1","1","0","0"
"2016","41550","경기도","안성시","2.2673242325901652","0.0","0.0","0.0","1.0","6.619920126663517","1","1","0","0"
"2016","41570","경기도","김포시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","41590","경기도","화성시","2.7081403049890724","0.0","0.0","0.0","","","1","1","0","0"
"2016","41610","경기도","광주시","2.8167078386844038","0.0","0.0","0.0","1.0","22.433831185799672","1","1","0","0"
"2016","41630","경기도","양주시","0.0","0.0","0.0","0.0","1.0","2.839359732614477","1","1","0","0"
"2016","41650","경기도","포천시","0.8020973174200708","0.0","0.0","0.0","1.0","7.034360749903426","1","1","0","0"
"2016","41670","경기도","여주시","1.758439110009327","0.0","","","1.0","3.898896967995928","1","1","0","0"
"2016","41800","경기도","연천군","0.0","0.0","0.0","0.0","1.0","24.23761396646297","1","1","0","0"
"2016","41820","경기도","가평군","1.1231323643669833","0.0","0.0","0.0","1.0","2.761531025552801","1","1","0","0"
"2016","41830","경기도","양평군","1.371500143409458","0.0","0.0","0.0","1.0","3.95697339287642","1","1","0","0"
"2016","43111","충청북도","청주시 상당구","1.8475873797243378","","","","1.0","2.461674022814428","0","1","0","0"
"2016","43112","충청북도","청주시 서원구","4.815619103817206","","","","","","0","1","0","0"
"2016","43113","충청북도","청주시 흥덕구","5.568352028466287","","","","","","0","1","0","0"
"2016","43114","충청북도","청주시 청원구","4.06658635161927","","","","","","0","1","0","0"
"2016","43130","충청북도","충주시","2.57672339293489","0.0","0.03859928","0.0","","","1","1","0","0"
"2016","43150","충청북도","제천시","2.2991674262882356","0.0","0.023702642","0.0","1.0","0.8587935272198425","1","1","0","0"
"2016","43720","충청북도","보은군","1.7975094560166907","0.0","0.108747773","0.0","","","1","1","0","0"
"2016","43730","충청북도","옥천군","0.0","0.0","0.910011627","0.0","","","1","1","0","0"
"2016","43740","충청북도","영동군","1.9569110241925562","8.661217288031688","0.459012601","0.2691103777459881","1.0","0.8693319726026306","1","1","0","0"
"2016","43745","충청북도","증평군","0.0","0.0","0.179121874","0.0","","","1","1","0","0"
"2016","43750","충청북도","진천군","2.7870126005516918","0.0","0.129682024","0.0","","","1","1","0","0"
"2016","43760","충청북도","괴산군","1.483223893840756","0.0","0.094544323","0.0","","","1","1","0","0"
"2016","43770","충청북도","음성군","2.9282949162595266","0.0","0.058552723","0.0","","","1","1","0","0"
"2016","43800","충청북도","단양군","0.8208431204074615","0.0","0.037189306","0.0","1.0","0.5342984890304828","1","1","0","0"
"2016","44131","충청남도","천안시 동남구","2.61139734356423","","","","1.0","3.5461814599572232","0","1","0","0"
"2016","44133","충청남도","천안시 서북구","0.0","","","","","","0","1","0","0"
"2016","44150","충청남도","공주시","2.179179206934905","0.0","0.353079606","0.0","","","1","1","0","0"
"2016","44180","충청남도","보령시","1.5195504097465728","0.0","0.0","0.0","1.0","1.0848854176486256","1","1","0","0"
"2016","44200","충청남도","아산시","2.02187202205361","0.0","0.0","0.0","","","1","1","0","0"
"2016","44210","충청남도","서산시","0.6274922460749682","0.0","0.0","0.0","","","1","1","0","0"
"2016","44230","충청남도","논산시","3.028203052823415","0.0","0.0","0.0","1.0","0.9108053619372088","1","1","0","0"
"2016","44250","충청남도","계룡시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","44270","충청남도","당진시","2.2401333481171775","0.0","0.0","0.0","","","1","1","0","0"
"2016","44710","충청남도","금산군","2.154316496001003","0.0","0.0","0.0","1.0","1.311914928277448","1","1","0","0"
"2016","44760","충청남도","부여군","2.298218307650813","0.0","0.0","0.0","1.0","0.10819364241225492","1","1","0","0"
"2016","44770","충청남도","서천군","0.0","0.0","0.0","0.0","1.0","0.29013724686533143","1","1","0","0"
"2016","44790","충청남도","청양군","1.5571192779403842","0.0","0.0","0.0","1.0","0.2415610224193841","1","1","0","0"
"2016","44800","충청남도","홍성군","2.0166566713287986","0.0","0.0","0.0","","","1","1","0","0"
"2016","44810","충청남도","예산군","1.840370301417983","0.0","0.0","0.0","","","1","1","0","0"
"2016","44825","충청남도","태안군","0.5504352063403257","0.0","0.0","0.0","","","1","1","0","0"
"2016","45111","전라북도","전주시 완산구","0.0","","","","","","0","1","0","0"
"2016","45113","전라북도","전주시 덕진구","0.0","","","","","","0","1","0","0"
"2016","45130","전라북도","군산시","1.6928165301878575","0.0","0.0","0.0","1.0","15.298613485453936","1","1","0","0"
"2016","45140","전라북도","익산시","0.0","0.0","0.0","0.0","1.0","2.905402775004961","1","1","0","0"
"2016","45180","전라북도","정읍시","2.1992462441979583","0.0","0.0","0.0","","","1","1","0","0"
"2016","45190","전라북도","남원시","1.699371888662432","0.0","0.0","0.0","","","1","1","0","0"
"2016","45210","전라북도","김제시","0.0","0.0","0.0","0.0","1.0","2.105656764689842","1","1","0","0"
"2016","45710","전라북도","완주군","1.10901252496341","0.0","0.0","0.0","","","1","1","0","0"
"2016","45720","전라북도","진안군","1.5192934275195018","0.0","0.43619799","0.0","","","1","1","0","0"
"2016","45730","전라북도","무주군","2.467591638486618","0.0","0.0","0.0","","","1","1","0","0"
"2016","45740","전라북도","장수군","2.6231782554292766","0.0","0.0","0.0","","","1","1","0","0"
"2016","45750","전라북도","임실군","1.424664447822283","0.0","0.0","0.0","1.0","1.324451832233092","1","1","0","0"
