연도,시도,시군구명,시군구코드,도로소나무비율_500m,주거지소나무비율_300m,log1p_원목생산업체수
2016,서울특별시,종로구,11110,0.174048983,0.558285299,0
2016,서울특별시,중구,11140,0.893109737,0.842385775,0
2016,서울특별시,용산구,11170,0.775440582,0.6484645,0
2016,서울특별시,성동구,11200,0.508158452,0.953735081,0
2016,서울특별시,광진구,11215,0.196360065,0.438117643,0
2016,서울특별시,동대문구,11230,0.309585146,0.874356012,0
2016,서울특별시,중랑구,11260,0.345573136,0.636366256,0
2016,서울특별시,성북구,11290,0.33823517,0.594234597,0
2016,서울특별시,강북구,11305,0.150868583,0.316270035,0
2016,서울특별시,도봉구,11320,0.018097052,0.269014129,0.693147181
2016,서울특별시,노원구,11350,0.307284305,0.227300482,0
2016,서울특별시,은평구,11380,0.194707655,0.374043529,0
2016,서울특별시,서대문구,11410,0.597368509,0.87985122,0
2016,서울특별시,마포구,11440,0.902278683,0.883581177,0
2016,서울특별시,양천구,11470,0.695057013,0.990382163,0
2016,서울특별시,강서구,11500,0.554230524,0.7580241,0
2016,서울특별시,구로구,11530,0.190740085,0.897916505,0
2016,서울특별시,금천구,11545,0.697446132,0.671940272,0
2016,서울특별시,영등포구,11560,,,0
2016,서울특별시,동작구,11590,0.4040602,0.890009,0
2016,서울특별시,관악구,11620,0.416459913,0.153964601,0
2016,서울특별시,서초구,11650,0.676024094,0.388257147,0
2016,서울특별시,강남구,11680,0.618666722,0.87021563,0
2016,서울특별시,송파구,11710,0.569198731,0.771264263,0.693147181
2016,서울특별시,강동구,11740,0.842235682,0.630061248,0
2016,부산광역시,중구,26110,1,1,0
2016,부산광역시,서구,26140,0.580084301,0.339142003,0
2016,부산광역시,동구,26170,0.694879418,0.631513023,0
2016,부산광역시,영도구,26200,0.613061437,0.413300121,0
2016,부산광역시,부산진구,26230,0.637427843,0.553420534,0.693147181
2016,부산광역시,동래구,26260,0.746405098,0.480328891,0
2016,부산광역시,남구,26290,0.931204998,0.558223575,0
2016,부산광역시,북구,26320,0.468923179,0.275605812,0
2016,부산광역시,해운대구,26350,0.480482528,0.322006072,0
2016,부산광역시,사하구,26380,0.716918281,0.614353563,0
2016,부산광역시,금정구,26410,0.554861091,0.22618226,0
2016,부산광역시,강서구,26440,0.245967702,0.145585176,0
2016,부산광역시,연제구,26470,0.681441978,0.771107845,0
2016,부산광역시,수영구,26500,0.842701388,0.596920905,0
2016,부산광역시,사상구,26530,0.530869281,0.374289278,0
2016,부산광역시,기장군,26710,0.492436067,0.187055058,0.693147181
2016,대구광역시,중구,27110,,,0
2016,대구광역시,동구,27140,0.33468923,0.100568168,1.609437912
2016,대구광역시,서구,27170,0.754421158,0.366072232,0
2016,대구광역시,남구,27200,0.417834597,0.167959777,0
2016,대구광역시,북구,27230,0.322975867,0.208137153,1.386294361
2016,대구광역시,수성구,27260,0.468766871,0.163500375,0
2016,대구광역시,달서구,27290,0.371654109,0.19540898,0
2016,대구광역시,달성군,27710,0.258111955,0.13371159,0
2016,대구광역시,군위군,27720,0.079386536,0.066094437,0.693147181
2016,인천광역시,중구,28110,0.495006007,0.250392153,0
2016,인천광역시,동구,28140,,,0
2016,인천광역시,미추홀구,28177,0.966751073,0.881855812,0
2016,인천광역시,연수구,28185,0.977158061,0.813097897,0
2016,인천광역시,남동구,28200,0.85250521,0.503982505,0
2016,인천광역시,부평구,28237,0.896503492,0.527120531,0
2016,인천광역시,계양구,28245,0.5634983,0.369914373,0
2016,인천광역시,서구,28260,0.301206751,0.251784844,0
2016,인천광역시,강화군,28710,0.012152207,0.088645183,1.791759469
2016,인천광역시,옹진군,28720,0,0.059242976,0
2016,광주광역시,동구,29110,0.576504506,0.252128593,0
2016,광주광역시,서구,29140,0.609917962,0.567892737,0.693147181
2016,광주광역시,남구,29155,0.508218147,0.439838652,0.693147181
2016,광주광역시,북구,29170,0.493492019,0.137794874,1.609437912
2016,광주광역시,광산구,29200,0.419150997,0.246630191,1.386294361
2016,대전광역시,동구,30110,0.482207518,0.193270132,2.197224577
2016,대전광역시,중구,30140,0.499672028,0.120026693,2.079441542
2016,대전광역시,서구,30170,0.557272103,0.30094274,2.197224577
2016,대전광역시,유성구,30200,0.427647116,0.152050666,1.609437912
2016,대전광역시,대덕구,30230,0.650852731,0.299360544,1.098612289
2016,울산광역시,중구,31110,0.637783739,0.334858022,0
2016,울산광역시,남구,31140,0.896214465,0.389883514,0
2016,울산광역시,동구,31170,0.42554447,0.178381084,0
2016,울산광역시,북구,31200,0.337335319,0.117884262,0
2016,울산광역시,울주군,31710,0.412149401,0.134340629,1.609437912
2016,세종특별자치시,세종시,36110,0.419372499,0.226678009,1.791759469
2016,경기도,수원시 장안구,41111,0.318379191,0.175986399,0
2016,경기도,수원시 권선구,41113,0.190019059,0.283187985,0
2016,경기도,수원시 팔달구,41115,0.485104826,1,0
2016,경기도,수원시 영통구,41117,0.527210486,0.649777544,0
2016,경기도,성남시 수정구,41131,0.493870969,0.338703783,0
2016,경기도,성남시 중원구,41133,0.599277325,0.322563763,0
2016,경기도,성남시 분당구,41135,0.438142535,0.648164273,0.693147181
2016,경기도,의정부시,41150,0.346451587,0.098877608,0
2016,경기도,안양시 만안구,41171,0.220823627,0.192884013,0
2016,경기도,안양시 동안구,41173,0.067425298,0.107774672,0
2016,경기도,부천시,41190,0.438398242,0.679902527,0
2016,경기도,광명시,41210,0.272435832,0.48863604,0
2016,경기도,평택시,41330,0.176364358,0.261346408,1.609437912
2016,경기도,동두천시,41250,0.022656316,0,0
2016,경기도,안산시 상록구,41271,0.666792446,0.45990799,0
2016,경기도,안산시 단원구,41273,0.049515685,0.226860973,0
2016,경기도,고양시 덕양구,41281,0.131918036,0.163479738,1.098612289
2016,경기도,고양시 일산동구,41285,0.063820153,0,0.693147181
2016,경기도,고양시 일산서구,41287,0.537161729,0,0
2016,경기도,과천시,41290,0.03647012,0.158451991,0
2016,경기도,구리시,41310,0.234097977,0.210208324,0
2016,경기도,남양주시,41360,0.191956076,0.236007103,1.386294361
2016,경기도,오산시,41370,0.313195294,0.304637332,0.693147181
2016,경기도,시흥시,41390,0.511246883,0.370165205,0
2016,경기도,군포시,41410,0.411455769,0.314357524,0
2016,경기도,의왕시,41430,0.265241823,0.198639069,0
2016,경기도,하남시,41450,0.257408386,0.222651893,0
2016,경기도,용인시 처인구,41461,0.157893403,0.222891529,1.098612289
2016,경기도,용인시 기흥구,41463,0.215283874,0.471759402,0
2016,경기도,용인시 수지구,41465,0.135371326,0.413437684,0
2016,경기도,파주시,41480,0.244715505,0.024352586,1.945910149
2016,경기도,이천시,41500,0.159189218,0.248679942,2.079441542
2016,경기도,안성시,41550,0.180077348,0.146618989,2.564949357
2016,경기도,김포시,41570,0.232815164,0.265053709,1.098612289
2016,경기도,화성시,41590,0.175610685,0.289169415,2.197224577
2016,경기도,광주시,41610,0.249477588,0.286968491,2.397895273
2016,경기도,양주시,41630,0.177417778,0.015635854,0.693147181
2016,경기도,포천시,41650,0.161672802,0.047333834,2.302585093
2016,경기도,여주시,41670,0.196646268,0.150059623,1.386294361
2016,경기도,연천군,41800,0.20390196,0,0.693147181
2016,경기도,가평군,41820,0.167659328,0.081603345,3.17805383
2016,경기도,양평군,41830,0.119343235,0.112925355,3.218875825
2016,충청북도,청주시 상당구,43111,0.119952524,0.135994554,2.302585093
2016,충청북도,청주시 서원구,43112,0.277497089,0.427539131,0.693147181
2016,충청북도,청주시 흥덕구,43113,0.306947038,0.27505778,1.609437912
2016,충청북도,청주시 청원구,43114,0.118333849,0.153544684,0
2016,충청북도,충주시,43130,0.149543839,0.070340355,3.931825633
2016,충청북도,제천시,43150,0.153478748,0.056265892,3.044522438
2016,충청북도,보은군,43720,0.123826484,0.087609328,2.564949357
2016,충청북도,옥천군,43730,0.105308393,0.103066354,3.433987204
2016,충청북도,영동군,43740,0.133825146,0.13160243,3.663561646
2016,충청북도,증평군,43745,0.050260778,0.203499931,0
2016,충청북도,진천군,43750,0.162676354,0.122051666,2.944438979
2016,충청북도,괴산군,43760,0.176830163,0.055981255,2.944438979
2016,충청북도,음성군,43770,0.120736504,0.097207453,1.386294361
2016,충청북도,단양군,43800,0.145147685,0.043224812,1.098612289
2016,충청남도,천안시 동남구,44131,0.137903903,0.186869799,3.258096538
2016,충청남도,천안시 서북구,44133,0.324030547,0.189483176,2.48490665
2016,충청남도,공주시,44150,0.141335255,0.107090157,3.784189634
2016,충청남도,보령시,44180,0.161508606,0.10602432,2.079441542
2016,충청남도,아산시,44200,0.135801151,0.187383151,2.48490665
2016,충청남도,서산시,44210,0.182222602,0.079234395,1.098612289
2016,충청남도,논산시,44230,0.126752499,0.222798436,2.772588722
2016,충청남도,계룡시,44250,0.157324655,0.120233426,1.098612289
2016,충청남도,당진시,44270,0.164969735,0.093860764,1.791759469
2016,충청남도,금산군,44710,0.139285912,0.126131266,2.302585093
2016,충청남도,부여군,44760,0.119127605,0.16493513,2.944438979
2016,충청남도,서천군,44770,0.237297233,0.231719758,2.079441542
2016,충청남도,청양군,44790,0.137062294,0.102858684,3.295836866
2016,충청남도,홍성군,44800,0.219021726,0.106369687,0.693147181
2016,충청남도,예산군,44810,0.121916625,0.060830417,2.079441542
2016,충청남도,태안군,44825,0.125564884,0.04864169,1.791759469
2016,전라북도,전주시 완산구,45111,0.19502707,0.337623708,3.33220451
2016,전라북도,전주시 덕진구,45113,0.297672278,0.404474857,3.688879454
2016,전라북도,군산시,45130,0.181284607,0.303213039,2.197224577
2016,전라북도,익산시,45140,0.077342395,0.29516919,1.386294361
2016,전라북도,정읍시,45180,0.207078342,0.177645035,1.609437912
2016,전라북도,남원시,45190,0.213874349,0.111527012,3.36729583
2016,전라북도,김제시,45210,0.139270404,0.290864809,1.791759469
2016,전라북도,완주군,45710,0.179802259,0.124920409,2.63905733
2016,전라북도,진안군,45720,0.182574574,0.076125383,3.526360525
2016,전라북도,무주군,45730,0.187564482,0.084171209,1.945910149
2016,전라북도,장수군,45740,0.18614673,0.095933206,3.091042453
2016,전라북도,임실군,45750,0.194825099,0.133948742,3.135494216
2016,전라북도,순창군,45770,0.181883666,0.133040863,1.791759469
2016,전라북도,고창군,45790,0.153490404,0.147327046,1.386294361
2016,전라북도,부안군,45800,0.151729632,0.102855392,0.693147181
2016,전라남도,목포시,46110,0.231518078,0.385392711,0
2016,전라남도,여수시,46130,0.141363175,0.132355893,0
2016,전라남도,순천시,46150,0.175909895,0.140240288,2.397895273
2016,전라남도,나주시,46170,0.164173211,0.222789293,2.397895273
2016,전라남도,광양시,46230,0.100133425,0.122604381,0
2016,전라남도,담양군,46710,0.14224594,0.1438,0.693147181
2016,전라남도,곡성군,46720,0.105284975,0.073351546,2.197224577
2016,전라남도,구례군,46730,0.098967857,0.055587783,1.609437912
2016,전라남도,고흥군,46770,0.139429607,0.146858461,0.693147181
2016,전라남도,보성군,46780,0.178662621,0.129906817,2.708050201
