sgg_cd,pine_ha,forest_ha,pine_ratio,시도명,sido_cd,sido_nm,pine_ha_raw
47170,54467.9,106755.6,51.0,경북,47,경북,52912.2
47920,43539.8,96782.5,45.0,경북,47,경북,42296.2
42230,42891.0,115497.5,37.1,강원,42,강원,40635.8
47930,40590.0,84204.2,48.2,경북,47,경북,39430.7
42720,37648.0,171506.2,22.0,강원,42,강원,35668.5
47730,37137.4,79055.7,47.0,경북,47,경북,36076.7
48890,32570.1,72223.1,45.1,경남,48,경남,32882.5
42810,31048.4,149331.5,20.8,강원,42,강원,29415.9
42150,30318.8,92258.0,32.9,강원,42,강원,28724.6
47130,29542.0,85816.6,34.4,경북,47,경북,28698.2
42750,27435.6,106891.6,25.7,강원,42,강원,25993.0
47760,27271.2,70760.7,38.5,경북,47,경북,26492.3
42770,27097.7,118491.0,22.9,강원,42,강원,25672.9
47750,25325.4,69799.9,36.3,경북,47,경북,24602.1
42760,24739.2,138058.2,17.9,강원,42,강원,23438.4
43800,23954.5,99693.1,24.0,충북,43,충북,16030.9
47230,23321.8,60297.3,38.7,경북,47,경북,22655.7
47770,22843.8,60500.7,37.8,경북,47,경북,22191.3
43150,22266.3,98942.8,22.5,충북,43,충북,14901.1
45190,22177.7,46319.9,47.9,전북,45,전북,20597.4
48170,21605.0,42142.6,51.3,경남,48,경남,21812.2
42730,20605.6,87758.4,23.5,강원,42,강원,19522.2
48880,20404.2,60087.1,34.0,경남,48,경남,20599.9
48270,19738.8,50846.3,38.8,경남,48,경남,19928.1
48860,19401.5,61638.4,31.5,경남,48,경남,19587.6
47250,19008.1,78355.5,24.3,경북,47,경북,18465.2
46150,18467.7,60635.3,30.5,,46,전남,16695.6
42110,18424.5,93810.4,19.6,강원,42,강원,17455.7
47820,18248.3,49098.3,37.2,경북,47,경북,17727.1
48820,16807.4,33517.1,50.1,경남,48,경남,16968.6
48720,16481.7,35007.7,47.1,경남,48,경남,16639.8
47280,16291.0,67936.6,24.0,경북,47,경북,15825.7
46790,16231.9,53294.3,30.5,,46,전남,14674.3
42830,16202.1,58673.1,27.6,강원,42,강원,15350.2
41820,16055.1,84177.3,19.1,경기,41,경기,14020.5
47210,16025.3,41563.3,38.6,경북,47,경북,15567.6
46770,15949.6,52367.5,30.5,,46,전남,14419.1
46720,15924.6,52285.4,30.5,,46,전남,14396.5
48740,15716.5,27591.4,57.0,경남,48,경남,15867.2
31710,15613.8,52890.2,29.5,울산,31,울산,15374.2
47113,15580.0,52530.8,29.7,경북,47,경북,15135.0
44825,15554.2,20735.0,75.0,충남,44,충남,13133.6
46910,14932.1,49026.6,30.5,,46,전남,13499.2
48850,14843.1,48463.1,30.6,경남,48,경남,14985.5
43740,14793.7,100006.9,14.8,충북,43,충북,9900.3
46820,14752.3,48436.4,30.5,,46,전남,13336.7
48870,14693.2,55746.8,26.4,경남,48,경남,14834.1
47840,13224.5,41471.1,31.9,경북,47,경북,12846.8
46890,13070.9,42915.7,30.5,,46,전남,11816.6
47150,12809.8,68369.7,18.7,경북,47,경북,12443.9
43130,12799.0,92748.0,13.8,충북,43,충북,8565.4
44180,12796.1,34826.5,36.7,충남,44,충남,10804.7
44210,12525.1,25118.8,49.9,충남,44,충남,10575.9
47190,12436.1,33279.7,37.4,경북,47,경북,12080.9
47900,12280.6,35714.2,34.4,경북,47,경북,11929.8
48240,12017.6,22573.6,53.2,경남,48,경남,12132.9
48310,11692.8,26782.3,43.7,경남,48,경남,11804.9
41830,11375.6,75786.6,15.0,경기,41,경기,9934.0
42130,11207.7,67424.9,16.6,강원,42,강원,10618.4
47830,11198.4,23876.0,46.9,경북,47,경북,10878.6
45750,10590.6,42597.6,24.9,전북,45,전북,9836.0
45790,10500.4,20894.2,50.3,전북,45,전북,9752.2
45180,10493.4,31429.1,33.4,전북,45,전북,9745.7
45770,10445.7,34494.9,30.3,전북,45,전북,9701.4
41650,10168.8,67725.1,15.0,경기,41,경기,8880.1
46780,10164.7,33373.8,30.5,,46,전남,9189.3
48840,10144.3,22879.1,44.3,경남,48,경남,10241.6
46730,10088.7,33124.3,30.5,,46,전남,9120.6
27710,9829.5,48904.3,20.1,대구,27,대구,9658.7
47850,9802.4,29076.3,33.7,경북,47,경북,9522.4
44790,9783.2,35400.0,27.6,충남,44,충남,8260.7
46900,9737.4,31970.8,30.5,,46,전남,8803.0
44150,9617.0,65374.8,14.7,충남,44,충남,8120.4
48730,9426.0,22236.0,42.4,경남,48,경남,9516.4
42800,9409.6,30475.1,30.9,강원,42,강원,8914.8
46880,9368.4,30759.3,30.5,,46,전남,8469.4
50110,9154.8,44677.8,20.5,제주,50,제주,9007.2
48220,8922.3,15602.1,57.2,경남,48,경남,9007.9
46800,8873.3,29133.7,30.5,,46,전남,8021.8
46870,8550.9,28075.4,30.5,,46,전남,7730.4
48125,8124.7,17321.2,46.9,경남,48,경남,8202.6
47290,7956.9,22215.3,35.8,경북,47,경북,7729.6
46710,7946.8,26091.7,30.5,,46,전남,7184.2
45800,7545.4,18285.8,41.3,전북,45,전북,7007.8
48330,7410.5,34984.0,21.2,경남,48,경남,7481.6
45740,7389.8,40814.8,18.1,전북,45,전북,6863.2
48250,7335.4,21186.8,34.6,경남,48,경남,7405.8
47111,7294.9,25469.7,28.6,경북,47,경북,7086.5
45730,7233.3,51378.0,14.1,전북,45,전북,6717.9
44810,7085.0,26434.5,26.8,충남,44,충남,5982.4
42790,7063.0,50314.3,14.0,강원,42,강원,6691.6
46230,6800.7,22328.7,30.5,,46,전남,6148.1
44800,6694.9,18958.7,35.3,충남,44,충남,5653.0
44760,6609.6,33729.5,19.6,충남,44,충남,5581.0
44710,6513.6,43306.8,15.0,충남,44,충남,5499.9
46170,6422.1,21085.6,30.5,,46,전남,5805.8
45720,6357.9,62804.9,10.1,전북,45,전북,5904.9
44770,6089.1,14819.9,41.1,충남,44,충남,5141.5
50130,5782.2,42184.2,13.7,제주,50,제주,5689.0
45710,5782.1,59974.2,9.6,전북,45,전북,5370.1
46860,5715.2,18764.8,30.5,,46,전남,5166.8
46810,5689.8,18681.3,30.5,,46,전남,5143.8
42820,5329.0,20489.8,26.0,강원,42,강원,5048.8
43730,5290.8,54292.3,9.7,충북,43,충북,3540.7
27140,5161.6,22075.2,23.4,대구,27,대구,5071.9
42170,5138.8,16218.8,31.7,강원,42,강원,4868.6
26710,5111.9,13177.0,38.8,부산,26,부산,5313.0
46840,5104.0,16757.9,30.5,,46,전남,4614.2
42190,4966.4,30947.4,16.0,강원,42,강원,4705.3
28237,4877.8,31151.3,15.7,인천,28,인천,37.9
46830,4531.7,14878.8,30.5,,46,전남,4096.8
43750,3992.5,33633.4,11.9,충북,43,충북,2671.9
41360,3982.7,34645.4,11.5,경기,41,경기,3478.0
44230,3772.0,23061.7,16.4,충남,44,충남,3185.0
44200,3711.1,21050.9,17.6,충남,44,충남,3133.6
31200,3362.8,10212.8,32.9,울산,31,울산,3311.2
48127,2858.1,7069.3,40.4,경남,48,경남,2885.5
44131,2825.2,28813.5,9.8,충남,44,충남,2385.5
48121,2771.0,7255.5,38.2,경남,48,경남,2797.6
29200,2700.7,6817.4,39.6,광주,29,광주,2614.8
41630,2692.7,21416.9,12.6,경기,41,경기,2351.5
28177,2651.2,7886.7,33.6,인천,28,인천,20.6
41550,2640.9,28143.2,9.4,경기,41,경기,2306.2
45210,2484.3,8704.6,28.5,전북,45,전북,2307.3
27230,2417.8,8796.2,27.5,대구,27,대구,2375.8
45140,2361.4,8247.9,28.6,전북,45,전북,2193.1
41670,2354.3,31035.4,7.6,경기,41,경기,2055.9
41461,2191.3,30138.6,7.3,경기,41,경기,1913.6
42210,2171.2,9132.8,23.8,강원,42,강원,2057.0
48129,2135.3,8019.4,26.6,경남,48,경남,2155.8
41590,2134.7,19193.9,11.1,경기,41,경기,1864.2
41610,2117.1,34283.2,6.2,경기,41,경기,1848.8
45130,2066.2,7094.4,29.1,전북,45,전북,1919.0
26410,1942.7,4274.4,45.4,부산,26,부산,2019.1
26350,1686.4,3115.5,54.1,부산,26,부산,1752.7
30200,1577.5,12511.0,12.6,대전,30,대전,1001.1
36110,1497.0,24750.0,6.0,세종,36,세종,1190.3
48123,1458.4,5036.3,29.0,경남,48,경남,1472.4
26440,1450.6,3552.8,40.8,부산,26,부산,1507.7
29170,1417.1,5568.1,25.5,광주,29,광주,1372.0
