"variable","missing","missing_rate","unique_count"
"year","0","0","8"
"sigungu_cd","0","0","250"
"sigungu_nm","0","0","228"
"sido","0","0","17"
"sigungu_full_nm","0","0","250"
"resource_local_budget","290","0.145","1541"
"surveillance_local_budget","290","0.145","667"
"movement_local_budget","290","0.145","177"
"included_local_budget","290","0.145","1551"
"direct_local_budget","290","0.145","847"
"broad_local_budget","290","0.145","1539"
"budget_observed","0","0","2"
"pine_area_ha_2024","0","0","248"
"pine_area_observed","0","0","1"
"resource_budget_per_pine_ha","314","0.157","1540"
"surveillance_budget_per_pine_ha","314","0.157","1064"
"movement_budget_per_pine_ha","314","0.157","467"
"surveillance_share","448","0.224","1062"
"movement_share_broad_budget","456","0.228","470"
"budget_missing_reason","0","0","4"
"pine_area_positive","0","0","2"
"log_resource_budget_per_pine_ha","314","0.157","1540"
"log_surveillance_budget_per_pine_ha","314","0.157","1064"
"log_movement_budget_per_pine_ha","314","0.157","467"
"movement_share_included_budget","448","0.224","470"
"prev_infected_sites","250","0.125","477"
"current_infected_sites","0","0","514"
"recurrent_sites_300m","250","0.125","377"
"recurrence_rate_300m","1155","0.5775","513"
"new_site_share_300m","1174","0.587","524"
"pine_area_ha_applied","0","0","495"
"forest_map_reference_year","0","0","2"
"pine_area_matched","0","0","1"
"pine_area_ha_old_2024","0","0","248"
"resource_budget_per_pine_ha_old_2024denom","314","0.157","1544"
"surveillance_budget_per_pine_ha_old_2024denom","314","0.157","1064"
"movement_budget_per_pine_ha_old_2024denom","314","0.157","470"
"log_resource_budget_per_pine_ha_old_2024denom","314","0.157","1544"
"log_surveillance_budget_per_pine_ha_old_2024denom","314","0.157","1064"
"log_movement_budget_per_pine_ha_old_2024denom","314","0.157","470"
"analysis_unit_matched","0","0","2"
"index_eligible","0","0","2"
"active_pest_firm_count","250","0.125","29"
"forest_firm_data_observed","0","0","2"
"forest_firm_data_complete_for_year","0","0","2"
"forest_firm_data_stale_flag","0","0","2"
"forest_firm_reference_date","250","0.125","2"
"forest_firm_region_matched","0","0","1"
"active_pest_firm_per_10000_pine_ha","518","0.259","540"
"log_active_pest_firm_per_10000_pine_ha","518","0.259","540"
"restriction_designated","453","0.2265","3"
"active_restriction_area_ha","453","0.2265","525"
"restriction_history_complete_flag","0","0","2"
"restriction_date_quality_flag","0","0","4"
"restriction_region_matched","0","0","1"
"active_restriction_area_ratio","468","0.234","591"
"budget_index_eligible","0","0","2"
"extended_index_eligible","0","0","2"
"capacity_index_A_pooled","314","0.157","1550"
"capacity_index_A_yearly","314","0.157","1557"
"capacity_index_B_pooled","736","0.368","1167"
"capacity_index_B_yearly","736","0.368","1181"
