시군구코드,피해고사목수_전체,감염목수_전체,관측관리주기수,피해고사목수_최근3,소나무류면적_ha,산림면적_ha,소나무류비율,시도명,시군구명,피해밀도_전체,피해밀도_최근3
11140,0,0,1,,38.2,598.3,6.4,서울,중구,0.0,
11170,0,0,1,,303.1,1903.8,15.9,서울,용산구,0.0,
11260,0,0,3,,262.2,1785.0,14.7,서울,중랑구,0.0,
11290,0,0,2,,579.6,3547.5,16.3,서울,성북구,0.0,
26140,17,16,6,13,209.9,893.9,23.5,부산,서구,8.1,6.2
26170,1,1,3,1,134.2,332.5,40.4,부산,동구,0.7,0.7
26200,1385,946,7,127,284.6,460.8,61.8,부산,영도구,486.6,44.6
26230,156,155,7,96,668.1,1709.5,39.1,부산,부산진구,23.3,14.4
26260,3,3,7,3,368.0,588.7,62.5,부산,동래구,0.8,0.8
26290,268,62,7,0,397.3,747.6,53.1,부산,남구,67.5,0.0
26320,314,52,7,25,997.7,2525.1,39.5,부산,북구,31.5,2.5
26350,435,99,7,72,1686.4,3115.5,54.1,부산,해운대구,25.8,4.3
26380,61,32,7,1,520.7,1314.6,39.6,부산,사하구,11.7,0.2
26410,3766,758,7,993,1942.7,4274.4,45.4,부산,금정구,193.9,51.1
26440,854,594,7,415,1450.6,3552.8,40.8,부산,강서구,58.9,28.6
26470,4,4,4,4,141.9,407.0,34.9,부산,연제구,2.8,2.8
26500,23,22,4,22,95.9,272.2,35.2,부산,수영구,24.0,22.9
26530,19,209,4,9,604.0,1471.5,41.0,부산,사상구,3.1,1.5
26710,23402,20792,7,4934,5111.9,13177.0,38.8,부산,기장군,457.8,96.5
27140,1600,1840,7,1464,5161.6,22075.2,23.4,대구,동구,31.0,28.4
27170,179,150,7,84,34.6,389.6,8.9,대구,서구,517.3,242.8
27200,1,1,1,1,379.0,1809.0,21.0,대구,남구,0.3,0.3
27230,20302,18423,7,14431,2417.8,8796.2,27.5,대구,북구,839.7,596.9
27260,32,37,6,1,1196.5,7837.2,15.3,대구,수성구,2.7,0.1
27290,778,719,7,654,972.0,4449.6,21.8,대구,달서구,80.0,67.3
27710,56119,56204,7,45563,9829.5,48904.3,20.1,대구,달성군,570.9,463.5
27720,4442,4355,6,2920,,,,대구광역시,군위군,,
29110,0,0,1,,895.8,3926.7,22.8,광주,동구,0.0,
29140,32,32,5,7,172.2,711.1,24.2,광주,서구,18.6,4.1
29155,12,12,4,3,510.2,1895.7,26.9,광주,남구,2.4,0.6
29170,0,0,1,,1417.1,5568.1,25.5,광주,북구,0.0,
29200,6605,6338,6,6548,2700.7,6817.4,39.6,광주,광산구,244.6,242.5
30200,27,27,5,20,1577.5,12511.0,12.6,대전,유성구,1.7,1.3
31110,29512,29519,7,6121,847.2,1429.5,59.3,울산,중구,3483.5,722.5
31140,2033,3854,7,204,521.3,1375.3,37.9,울산,남구,390.0,39.1
31170,35091,34994,7,3288,927.9,2004.1,46.3,울산,동구,3781.8,354.3
31200,118202,117912,7,31918,3362.8,10212.8,32.9,울산,북구,3515.0,949.1
31710,381542,379109,7,72520,15613.8,52890.2,29.5,울산,울주군,2443.6,464.5
36110,148,146,7,35,1497.0,24750.0,6.0,세종,세종특별자치시,9.9,2.3
41131,341,341,7,47,84.9,3169.5,2.7,경기,성남시 수정구,401.6,55.4
41133,1401,1390,7,94,42.3,1852.2,2.3,경기,성남시 중원구,3312.1,222.2
41135,4021,3443,7,890,108.1,4475.4,2.4,경기,성남시 분당구,3719.7,823.3
41150,1,1,1,,348.3,6156.2,5.7,경기,의정부시,0.3,
41220,642,642,7,524,553.3,5290.0,10.5,경기,평택시,116.0,94.7
41250,176,176,7,66,823.1,8901.0,9.2,경기,동두천시,21.4,8.0
41290,0,0,1,,0.0,0.0,0.0,경기,과천시,,
41360,41413,42078,7,14757,3982.7,34645.4,11.5,경기,남양주시,1039.8,370.5
41430,13,13,6,1,,,,경기도,의왕시,,
41450,1300,1176,7,476,221.4,5424.8,4.1,경기,하남시,587.2,215.0
41461,5294,5292,7,1067,2191.3,30138.6,7.3,경기,용인시 처인구,241.6,48.7
41463,469,469,7,70,307.8,3711.7,8.3,경기,용인시 기흥구,152.4,22.7
41465,17,17,4,9,84.9,2877.4,3.0,경기,용인시 수지구,20.0,10.6
41480,92,92,7,80,816.2,9519.0,8.6,경기,파주시,11.3,9.8
41500,643,643,7,458,660.6,16744.7,3.9,경기,이천시,97.3,69.3
41550,856,854,7,38,2640.9,28143.2,9.4,경기,안성시,32.4,1.4
41590,156,47,6,6,2134.7,19193.9,11.1,경기,화성시,7.3,0.3
41610,139629,143855,7,23262,2117.1,34283.2,6.2,경기,광주시,6595.3,1098.8
41630,313,313,7,190,2692.7,21416.9,12.6,경기,양주시,11.6,7.1
41650,49028,47907,7,25234,10168.8,67725.1,15.0,경기,포천시,482.1,248.2
41670,833,856,7,710,2354.3,31035.4,7.6,경기,여주시,35.4,30.2
41800,1959,1958,7,209,889.8,12514.9,7.1,경기,연천군,220.2,23.5
41820,5573,5565,7,4035,16055.1,84177.3,19.1,경기,가평군,34.7,25.1
41830,41642,42019,7,29142,11375.6,75786.6,15.0,경기,양평군,366.1,256.2
43111,0,0,1,,,,,충청북도,청주시 상당구,,
43113,24,18,4,,348.2,8197.5,4.2,충북,청주시 흥덕구,6.9,
43114,1,1,1,1,,,,충청북도,청주시 청원구,,
43130,1,1,1,1,12799.0,92748.0,13.8,충북,충주시,0.0,0.0
43150,267,267,7,152,22266.3,98942.8,22.5,충북,제천시,1.2,0.7
43730,2,2,1,,5290.8,54292.3,9.7,충북,옥천군,0.0,
43740,21,21,4,,14793.7,100006.9,14.8,충북,영동군,0.1,
43745,0,0,1,,0.0,0.0,0.0,충북,증평군,,
43750,8,8,2,1,3992.5,33633.4,11.9,충북,진천군,0.2,0.0
43800,131,131,7,62,23954.5,99693.1,24.0,충북,단양군,0.5,0.3
44131,15,15,7,6,2825.2,28813.5,9.8,충남,천안시 동남구,0.5,0.2
44133,6,6,4,5,543.7,5415.1,10.0,충남,천안시 서북구,1.1,0.9
44150,108,43,5,32,9617.0,65374.8,14.7,충남,공주시,1.1,0.3
44180,571,572,7,270,12796.1,34826.5,36.7,충남,보령시,4.5,2.1
44200,5,5,2,5,3711.1,21050.9,17.6,충남,아산시,0.1,0.1
44210,403,399,4,379,12525.1,25118.8,49.9,충남,서산시,3.2,3.0
44230,13,13,4,,3772.0,23061.7,16.4,충남,논산시,0.3,
44270,19,19,1,19,,,,충청남도,당진시,,
44710,19,19,3,1,6513.6,43306.8,15.0,충남,금산군,0.3,0.0
44760,35,41,6,22,6609.6,33729.5,19.6,충남,부여군,0.5,0.3
44770,459,561,7,410,6089.1,14819.9,41.1,충남,서천군,7.5,6.7
44790,829,1569,7,647,9783.2,35400.0,27.6,충남,청양군,8.5,6.6
44800,55,56,3,55,6694.9,18958.7,35.3,충남,홍성군,0.8,0.8
44810,64,208,5,59,7085.0,26434.5,26.8,충남,예산군,0.9,0.8
44825,1299,1299,5,1194,15554.2,20735.0,75.0,충남,태안군,8.4,7.7
45111,2,1319,4,0,543.1,4623.0,11.7,전북,전주시 완산구,0.4,0.0
45113,8,7,2,7,124.7,2283.5,5.5,전북,전주시 덕진구,6.4,5.6
45130,13492,12604,6,2567,2066.2,7094.4,29.1,전북,군산시,653.0,124.2
45140,213,213,7,102,2361.4,8247.9,28.6,전북,익산시,9.0,4.3
45180,170,170,7,67,10493.4,31429.1,33.4,전북,정읍시,1.6,0.6
45190,36,33,5,23,22177.7,46319.9,47.9,전북,남원시,0.2,0.1
45210,105,130,7,93,2484.3,8704.6,28.5,전북,김제시,4.2,3.7
45710,5,5,3,5,5782.1,59974.2,9.6,전북,완주군,0.1,0.1
45730,11,11,1,,7233.3,51378.0,14.1,전북,무주군,0.2,
45740,6,4,1,,7389.8,40814.8,18.1,전북,장수군,0.1,
45750,3012,439,6,346,10590.6,42597.6,24.9,전북,임실군,28.4,3.3
45770,1432,1252,7,473,10445.7,34494.9,30.3,전북,순창군,13.7,4.5
45790,15,15,1,,10500.4,20894.2,50.3,전북,고창군,0.1,
45800,7,7,3,0,7545.4,18285.8,41.3,전북,부안군,0.1,0.0
46110,59,59,1,,535.4,1757.8,30.5,전남,목포시,11.0,
46130,34591,34041,7,26818,,,,전라남도,여수시,,
46150,26246,28785,7,16812,18467.7,60635.3,30.5,전남,순천시,142.1,91.0
46170,10965,10959,3,58,6422.1,21085.6,30.5,전남,나주시,170.7,0.9
46230,15941,13272,7,7490,6800.7,22328.7,30.5,전남,광양시,234.4,110.1
46710,112,112,6,27,7946.8,26091.7,30.5,전남,담양군,1.4,0.3
46720,3,3,5,1,15924.6,52285.4,30.5,전남,곡성군,0.0,0.0
46730,294,263,6,213,10088.7,33124.3,30.5,전남,구례군,2.9,2.1
46770,26,26,4,11,15949.6,52367.5,30.5,전남,고흥군,0.2,0.1
46780,54,54,6,9,10164.7,33373.8,30.5,전남,보성군,0.5,0.1
46790,4,4,2,4,16231.9,53294.3,30.5,전남,화순군,0.0,0.0
46800,0,0,1,,8873.3,29133.7,30.5,전남,장흥군,0.0,
46810,0,0,1,,5689.8,18681.3,30.5,전남,강진군,0.0,
46820,5,5,2,,14752.3,48436.4,30.5,전남,해남군,0.0,
46830,0,0,1,,4531.7,14878.8,30.5,전남,영암군,0.0,
46840,20,19,6,2,5104.0,16757.9,30.5,전남,무안군,0.4,0.0
46860,16,16,3,3,5715.2,18764.8,30.5,전남,함평군,0.3,0.1
46870,113,113,1,,8550.9,28075.4,30.5,전남,영광군,1.3,
46880,529,537,5,514,9368.4,30759.3,30.5,전남,장성군,5.6,5.5
46910,17,17,3,,14932.1,49026.6,30.5,전남,신안군,0.1,
47111,89296,18333,7,17251,7294.9,25469.7,28.6,경북,포항시 남구,1224.1,236.5
47113,245990,98558,7,38207,15580.0,52530.8,29.7,경북,포항시 북구,1578.9,245.2
47130,305460,305814,7,126336,29542.0,85816.6,34.4,경북,경주시,1034.0,427.6
47150,11060,10418,7,9049,12809.8,68369.7,18.7,경북,김천시,86.3,70.6
47170,314728,24847,7,153057,54467.9,106755.6,51.0,경북,안동시,577.8,281.0
47190,226771,192536,7,46691,12436.1,33279.7,37.4,경북,구미시,1823.5,375.4
47210,1184,1073,7,1019,16025.3,41563.3,38.6,경북,영주시,7.4,6.4
47230,1783,1754,7,1163,23321.8,60297.3,38.7,경북,영천시,7.6,5.0
47250,4927,4981,6,2360,19008.1,78355.5,24.3,경북,상주시,25.9,12.4
47280,1316,1316,6,1315,16291.0,67936.6,24.0,경북,문경시,8.1,8.1
47290,138,171,7,77,7956.9,22215.3,35.8,경북,경산시,1.7,1.0
47730,2314,1786,7,1504,37137.4,79055.7,47.0,경북,의성군,6.2,4.0
47750,1,1,1,,25325.4,69799.9,36.3,경북,청송군,0.0,
47760,3,1,4,1,27271.2,70760.7,38.5,경북,영양군,0.0,0.0
47770,13735,17032,7,10250,22843.8,60500.7,37.8,경북,영덕군,60.1,44.9
47820,21379,21426,7,6175,18248.3,49098.3,37.2,경북,청도군,117.2,33.8
47830,54049,54204,7,36625,11198.4,23876.0,46.9,경북,고령군,482.6,327.1
47840,21949,23066,7,8783,13224.5,41471.1,31.9,경북,성주군,166.0,66.4
47850,12059,7441,7,5396,9802.4,29076.3,33.7,경북,칠곡군,123.0,55.0
47900,77,76,6,74,12280.6,35714.2,34.4,경북,예천군,0.6,0.6
47920,61,61,7,54,43539.8,96782.5,45.0,경북,봉화군,0.1,0.1
47930,2,1,4,1,40590.0,84204.2,48.2,경북,울진군,0.0,0.0
48121,46716,22603,6,3280,2771.0,7255.5,38.2,경남,창원시 의창구,1685.9,118.4
48123,3615,2314,6,1370,1458.4,5036.3,29.0,경남,창원시 성산구,247.9,93.9
48125,21807,11368,6,5291,8124.7,17321.2,46.9,경남,창원시 마산합포구,268.4,65.1
48127,5677,3330,6,1355,2858.1,7069.3,40.4,경남,창원시 마산회원구,198.6,47.4
48129,3249,1815,7,918,2135.3,8019.4,26.6,경남,창원시 진해구,152.2,43.0
48170,42440,41148,7,17840,21605.0,42142.6,51.3,경남,진주시,196.4,82.6
