시군구코드,시도명,소나무류면적_ha,산림면적_ha,소나무류비율
47170,경북,54467.9,106755.6,51.0
47920,경북,43539.8,96782.5,45.0
42230,강원,42891.0,115497.5,37.1
47930,경북,40590.0,84204.2,48.2
42720,강원,37648.0,171506.2,22.0
47730,경북,37137.4,79055.7,47.0
48890,경남,32570.1,72223.1,45.1
42810,강원,31048.4,149331.5,20.8
42150,강원,30318.8,92258.0,32.9
47130,경북,29542.0,85816.6,34.4
42750,강원,27435.6,106891.6,25.7
47760,경북,27271.2,70760.7,38.5
42770,강원,27097.7,118491.0,22.9
47750,경북,25325.4,69799.9,36.3
42760,강원,24739.2,138058.2,17.9
43800,충북,23954.5,99693.1,24.0
47230,경북,23321.8,60297.3,38.7
47770,경북,22843.8,60500.7,37.8
43150,충북,22266.3,98942.8,22.5
45190,전북,22177.7,46319.9,47.9
48170,경남,21605.0,42142.6,51.3
42730,강원,20605.6,87758.4,23.5
48880,경남,20404.2,60087.1,34.0
48270,경남,19738.8,50846.3,38.8
48860,경남,19401.5,61638.4,31.5
47250,경북,19008.1,78355.5,24.3
46150,전남,18467.7,60635.3,30.5
42110,강원,18424.5,93810.4,19.6
47820,경북,18248.3,49098.3,37.2
48820,경남,16807.4,33517.1,50.1
48720,경남,16481.7,35007.7,47.1
47280,경북,16291.0,67936.6,24.0
46790,전남,16231.9,53294.3,30.5
42830,강원,16202.1,58673.1,27.6
41820,경기,16055.1,84177.3,19.1
47210,경북,16025.3,41563.3,38.6
46770,전남,15949.6,52367.5,30.5
46720,전남,15924.6,52285.4,30.5
48740,경남,15716.5,27591.4,57.0
31710,울산,15613.8,52890.2,29.5
47113,경북,15580.0,52530.8,29.7
44825,충남,15554.2,20735.0,75.0
46910,전남,14932.1,49026.6,30.5
48850,경남,14843.1,48463.1,30.6
43740,충북,14793.7,100006.9,14.8
46820,전남,14752.3,48436.4,30.5
48870,경남,14693.2,55746.8,26.4
47840,경북,13224.5,41471.1,31.9
46890,전남,13070.9,42915.7,30.5
47150,경북,12809.8,68369.7,18.7
43130,충북,12799.0,92748.0,13.8
44180,충남,12796.1,34826.5,36.7
44210,충남,12525.1,25118.8,49.9
47190,경북,12436.1,33279.7,37.4
47900,경북,12280.6,35714.2,34.4
48240,경남,12017.6,22573.6,53.2
48310,경남,11692.8,26782.3,43.7
41830,경기,11375.6,75786.6,15.0
42130,강원,11207.7,67424.9,16.6
47830,경북,11198.4,23876.0,46.9
45750,전북,10590.6,42597.6,24.9
45790,전북,10500.4,20894.2,50.3
45180,전북,10493.4,31429.1,33.4
