연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,취약성지수_동일가중,취약성지수_실증가중
2016,강원특별자치도,강릉시,0.0,0,1.4188057941094652,-0.7390519997891971,0.38376925236808673,-0.7044469424270621,0.08976902606532317,0.21570345701855848
2017,강원특별자치도,강릉시,0.0,0,1.423642152259373,0.2175183617785488,0.10111913491399653,-0.7326577087373436,0.2524054850536437,0.13832283584991384
2018,강원특별자치도,강릉시,0.0,0,1.4273779747201745,0.3323173226174431,0.6598233988354024,-0.7099880309629534,0.4273826663025167,0.28962746586983834
2019,강원특별자치도,강릉시,0.0,0,1.4273779747201745,0.4666033234744409,0.6638779072792429,-0.7090041834889119,0.46221375549623656,0.291667477950325
2020,강원특별자치도,강릉시,0.0,0,1.4680695983605023,-0.48718137481672263,0.6912197662605591,-0.6651781386614233,0.2517324627857289,0.32600844946727225
2021,강원특별자치도,강릉시,0.0,0,1.4680695983605023,-0.340765652331709,0.6619774963281565,-0.6755515166758592,0.2784324814202726,0.31477757287067853
2022,강원특별자치도,강릉시,0.0,0,1.4680695983605023,1.0627832788755796,0.7039822447798998,-0.6653557777730035,0.6423698360607446,0.33596800358477436
2023,강원특별자치도,강릉시,0.0,0,1.4676659776544987,-0.27496997701243187,0.7253507311642879,-0.6292866607995177,0.3221900177517093,0.3511574740346758
2016,강원특별자치도,고성군,0.0,0,-0.5877987277990624,-0.6725209599230204,0.38376925236808673,-0.061877789946041706,-0.23460705632500944,-0.11373227102015018
2017,강원특별자치도,고성군,0.0,0,-0.584076860337455,0.4041362169478471,0.7113485554179262,-0.029023435094246486,0.125596119233518,-0.011479987126150526
2018,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.5237837806427633,0.6598233988354024,-0.005254346494748596,0.15030002701880257,-0.011253829973301615
2019,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.09425305596097266,0.6638779072792429,0.09154175525632702,0.06812999839708392,0.030478996139326288
2020,강원특별자치도,고성군,0.0,0,-0.5575564227955527,-0.4673997839311994,0.6912197662605591,0.13260906500822456,-0.05028184386449211,0.058897056247154
2021,강원특별자치도,고성군,0.0,0,-0.5575564227955527,-0.7659832416363104,0.6619774963281565,0.14652622143569882,-0.12875898666700195,0.05639480926285034
2022,강원특별자치도,고성군,0.0,0,-0.5575564227955527,0.7972047545231642,0.7039822447798998,0.16775093547744901,0.2778453779962401,0.08314622237290317
2023,강원특별자치도,고성군,0.0,0,-0.548462931915347,-0.1923760999326699,0.7253507311642879,0.20325111832304643,0.046940704409829365,0.10252285586449171
2016,강원특별자치도,동해시,0.0009995003330835,1,1.3391621637096065,-1.008350098920435,0.38376925236808673,0.5677287447292205,0.32057751547161967,0.7503023132899281
