연도,시도,시군구,시군구코드,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성,대응자원투입예산_소나무림ha당_log,예찰진단예산_소나무림ha당_log,예산자료_사용가능여부,대응자원투입예산_원,예찰진단예산_원,소나무림면적_원자료_ha,소나무림면적_보정_flag,log_소나무림면적,면적하한미달_flag,소나무림면적_자료유효_flag,예산결측사유,집계구분_지자체대응역량,대응자원투입예산_원_산림병해충포괄,예찰진단예산_원_산림병해충포괄,대응자원투입예산_소나무림ha당_log_산림병해충포괄,예찰진단예산_소나무림ha당_log_산림병해충포괄,대응자원투입예산_원_재선충명시,예찰진단예산_원_재선충명시,대응자원투입예산_총액_재선충명시,예찰진단예산_총액_재선충명시,대응자원투입예산_소나무림ha당_log_재선충명시,예찰진단예산_소나무림ha당_log_재선충명시,대응자원투입사업_재선충명시_존재_flag,예찰사업_재선충명시_존재_flag,예찰사업명_2016비표준_flag,재선충명시_집계범위,이동통제예산_원_산림병해충포괄,이동통제예산_소나무림ha당_log_산림병해충포괄,예찰진단예산비중_산림병해충포괄,이동통제예산비중_산림병해충포괄,이동통제예산비중_광의예산대비_산림병해충포괄,활동방제법인수_확장,방제법인수_소나무림1만ha당_log,반출금지구역_지정여부,반출금지구역면적_ha,반출금지구역면적비율,법인자료_연도완전여부,법인자료_관측여부,법인자료_최신성주의플래그,반출금지구역_이력완전_flag,확장자료_250to229_source_units,예찰자료_신뢰_flag,도로소나무비율_500m,주거지소나무비율_300m,log1p_원목생산업체수,면적_0_의심_flag,도로인접소나무면적_500m_ha_복원,주거지인접소나무면적_300m_ha_복원,원목생산업체수_누적stock,당해연도_신규원목생산업체수,임상도판_후기_flag,도로소나무비율_500m_최종사용_flag,주거지소나무비율_300m_최종사용_flag,원목생산업체수_조건부핵심_flag,log면적_동시투입필수_flag,집계구분_인위적확산,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible,국가대응수준_관측포함,도로소나무비율_500m_보정전,기후자료_결측사유,관측소_원거리_도서지역_flag,관측소_대도시권_재사용_flag,"도로소나무비율_500m_TierB참고(2023고정,104포함)",도로소나무비율_500m_TierA_통합시집계_flag
2016,강원특별자치도,강릉시,51150,0.0,0.0020977980821461,0,0,26.6329,242.11,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019),105,6.95,-1.04,23.93,1258.2,2.29,1898.4,2740.5,-2.18,11.0,366,True,9.435240755091614,,1,346985000.0,0.0,27712.288362127525,0,10.229631216985258,0,1,observed,단독단위_원값유지,346985000.0,0.0,9.435240755092,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,시군구직접_지방비,0,0.0,0.0,0.0,0.0,14.0,1.800374004004,0,0.0,0.0,1,1,0,0,1,0,0.1682321085191533,0.042135526,4.0943445622221,0,4662.096716376869,1167.6718468019217,59,2,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.1682321089999999,,0,0,0.1620036669999999,0
2017,강원특별자치도,강릉시,51150,0.0,0.0001999800026662,0,0,26.6329,517.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),105,6.95,-0.53,24.11,1081.9,2.51,1956.2,2786.2,-1.64,12.0,365,True,9.070861785428928,8.95519422571218,1,241017000.0,214688000.0,27712.288362127525,0,10.229631216985258,0,1,observed,단독단위_원값유지,241017000.0,214688000.0,9.070861785429,8.955194225712,16817000.0,0.0,56057000.0,0.0,6.409916137749,0.0,1.0,0.0,0,시군구직접_지방비,0,0.0,0.471111793814,0.0,0.0,14.0,1.800374004004,0,0.0,0.0,1,1,0,0,1,1,0.1664639352231924,0.042135526,4.23410650459726,0,4613.096568614453,1167.6718468019217,68,9,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.166463935,,0,0,0.1620036669999999,0
2018,강원특별자치도,강릉시,51150,0.0,0.0002999550089979,0,0,26.6329,517.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),105,6.95,-3.42,25.4,1599.4,2.43,1960.8,2796.0,-0.86,12.0,365,True,8.797100121207368,7.33518839291373,1,183290000.0,42464000.0,27712.288362127525,0,10.229631216985258,0,1,observed,단독단위_원값유지,183290000.0,42464000.0,8.797100121207,7.335188392914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,36990000,7.197275849574,0.161617391834,0.14078342417,0.167922643908,12.0,1.673390446192,0,0.0,0.0,1,1,0,0,1,1,0.16552632543029527,0.042135526,4.276666119016055,0,4587.113249923238,1167.6718468019217,71,3,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.165526325,,0,0,0.1620036669999999,0
2019,강원특별자치도,강릉시,51150,0.0,0.000499875041651,0,0,26.6329,242.11,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),105,6.95,-0.8,24.62,1670.5,2.43,2064.0,2914.6,-1.25,12.0,365,True,7.459197115967768,7.395553120891022,1,48074000.0,45108000.0,27712.288362127525,0,10.229631216985258,0,1,observed,단독단위_원값유지,48074000.0,45108000.0,7.459197115968,7.395553120891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,40460000,7.286877868769,0.337528621242,0.302749135751,0.456999570786,13.0,1.738896475328,0,0.0,0.0,1,1,0,1,1,1,0.16552632543029527,0.042135526,4.330733340286331,0,4587.113249923238,1167.6718468019217,75,4,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.165526325,,0,0,0.1620036669999999,0
2020,강원특별자치도,강릉시,51150,0.0,0.0013990209137073,0,0,26.7717,242.11,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),105,6.95,1.32,24.52,1812.9,2.42,1860.5,2691.4,-2.52,12.0,366,True,7.4583560127438,7.119312630020816,1,48284000.0,34392000.0,27856.777072684443,0,10.234831557680211,0,1,observed,단독단위_원값유지,48284000.0,34392000.0,7.458356012744,7.119312630021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,41472000,7.30636897636,0.277024196926,0.334052904598,0.462052676144,15.0,1.853902324524,0,0.0,0.0,1,1,0,1,1,1,0.16223031507393637,0.0421355259999999,4.343805421853684,0,4519.213719386376,1173.7599546222991,76,1,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.162230315,,0,0,0.1620036669999999,0
2021,강원특별자치도,강릉시,51150,0.0,0.000499875041651,0,0,26.7717,125.35,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),105,6.95,-1.62,24.8,1316.4,2.22,1996.9,2904.6,-1.69,12.0,365,True,8.609893014688016,7.285452885445072,1,152785000.0,40613000.0,27856.777072684443,0,10.234831557680211,0,1,observed,단독단위_원값유지,152785000.0,40613000.0,8.609893014688,7.285452885445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,42020000,7.319487416963,0.172514421157,0.178491024476,0.21570288237,15.0,1.853902324524,0,0.0,0.0,1,1,0,1,1,1,0.16223031507393662,0.0421355259999999,4.418840607796598,0,4519.213719386376,1173.7599546222991,82,6,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.162230315,,0,0,0.1620036669999999,0
2022,강원특별자치도,강릉시,51150,0.0,0.000899595242836,0,0,26.7717,245.3,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024),105,6.95,-1.47,25.52,1465.5,2.26,2159.9,3051.0,-0.58,12.0,365,True,8.179859853745596,7.144784511046392,1,99375000.0,35280000.0,27856.777072684443,0,10.234831557680211,0,1,observed,단독단위_원값유지,99375000.0,35280000.0,8.179859853746,7.144784511046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,43780000,7.360492180052,0.19771905736,0.245355451565,0.305822360379,15.0,1.853902324524,0,0.0,0.0,0,1,1,1,1,1,0.1620036665098502,0.0421355259999999,4.454347296253507,0,4512.900036576405,1173.7599546222991,85,3,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.1620036669999999,,0,0,0.1620036669999999,0
2023,강원특별자치도,강릉시,51150,0.0,0.001598721363697,0,0,26.7717,242.11,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024),105,6.95,-1.11,25.63,1568.3,2.23,2264.5,3189.2,-1.66,12.0,365,True,7.841735825354649,7.208343916756424,1,70857000.0,37597000.0,27856.777072684443,0,10.234831557680211,0,1,observed,단독단위_원값유지,70857000.0,37597000.0,7.841735825355,7.208343916756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,45620000,7.401635657199,0.244019107701,0.296091488506,0.391665307314,,,0,0.0,0.0,0,0,1,1,1,1,0.1620036665034687,0.0421355259999999,4.454347296253507,0,4512.900036576405,1173.7599546222991,85,0,1,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.1620036669999999,,0,0,0.1620036669999999,0
2016,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,321.87,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019),90,20.12,-3.13,23.04,1333.8,1.88,1679.8,2483.9,-1.99,11.0,366,True,10.978780915323904,,1,184600000.0,0.0,5011.982153953566,1,8.519586755345927,0,1,observed,단독단위_원값유지,184600000.0,0.0,10.978780915324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,시군구직접_지방비,0,0.0,0.0,0.0,0.0,5.0,2.825922339169,0,0.0,0.0,1,1,0,0,1,0,0.08815252571692986,0.0,0.6931471805599452,0,277.6194552383745,0.0,1,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.0881525259999999,,0,0,0.084283694,0
2017,강원특별자치도,고성군,51820,0.0,0.0,0,0,7.5806,572.68,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019),90,20.12,-1.58,23.06,1208.2,1.81,1732.6,2537.7,-1.63,12.0,365,True,10.621532722879431,0.0,1,129145000.0,0.0,5011.982153953566,1,8.519586755345927,0,1,observed,단독단위_원값유지,129145000.0,0.0,10.621532722879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,시군구직접_지방비,0,0.0,0.0,0.0,0.0,6.0,2.998319144925,0,0.0,0.0,1,1,0,0,1,1,0.08815252571692973,0.0,0.6931471805599452,0,277.6194552383745,0.0,1,0,0,1,0,1,1,단독단위_원값유지,,,,,,,,,,,,,0,0.0881525259999999,,0,0,0.084283694,0
