key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
강원특별자치도강릉시,2017,16817000.0,231021784.8675166,0.29784279125084,0.0,0,강원특별자치도,강릉시,214204784.8675166
강원특별자치도고성군,2017,0.0,168710202.11353,-0.2062463553418626,0.0,0,강원특별자치도,고성군,168710202.11353
강원특별자치도동해시,2017,0.0,260899804.30553657,0.5395504265688986,0.0,0,강원특별자치도,동해시,260899804.30553657
강원특별자치도삼척시,2017,0.0,225859198.93111864,0.2560784286095481,0.0,0,강원특별자치도,삼척시,225859198.93111864
강원특별자치도속초시,2017,0.0,207771386.69213024,0.1097513826206972,0.0,0,강원특별자치도,속초시,207771386.69213024
강원특별자치도양구군,2017,0.0,193578793.9476051,-0.0050640601641797,0.0,0,강원특별자치도,양구군,193578793.9476051
강원특별자치도양양군,2017,0.0,280347964.99311346,0.6968824391820941,0.0,0,강원특별자치도,양양군,280347964.99311346
강원특별자치도영월군,2017,0.0,219408469.96443275,0.2038932277849154,0.0,0,강원특별자치도,영월군,219408469.96443275
강원특별자치도원주시,2017,92676000.0,142861833.65224978,-0.4153548616994038,0.000499875041651,1,강원특별자치도,원주시,50185833.65224978
강원특별자치도인제군,2017,451000000.0,217834956.04674023,0.1911637920545958,0.0,0,강원특별자치도,인제군,-233165043.95325977
강원특별자치도정선군,2017,139179000.0,199162529.14508525,0.0401073218822399,0.0003999200213269,1,강원특별자치도,정선군,59983529.145085245
강원특별자치도철원군,2017,0.0,104122154.12276635,-0.7287516834490922,0.0,0,강원특별자치도,철원군,104122154.12276635
강원특별자치도춘천시,2017,266956000.0,184324458.95034397,-0.0799299137482612,0.0129162252665463,1,강원특별자치도,춘천시,-82631541.04965603
강원특별자치도태백시,2017,0.0,84643951.43425205,-0.8863267302775193,0.0,0,강원특별자치도,태백시,84643951.43425205
강원특별자치도평창군,2017,0.0,89077886.06734708,-0.8504570215257913,0.0,0,강원특별자치도,평창군,89077886.06734708
강원특별자치도홍천군,2017,119804000.0,204156499.5927227,0.0805076164951652,0.0006997551142733,1,강원특별자치도,홍천군,84352499.59272271
강원특별자치도화천군,2017,0.0,147807169.8162007,-0.3753480094205543,0.0,0,강원특별자치도,화천군,147807169.8162007
강원특별자치도횡성군,2017,32604000.0,187670982.18379456,-0.0528571615207496,9.999500033330834e-05,1,강원특별자치도,횡성군,155066982.18379456
