연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수,연속발생연수_L1,집단발생여부_L1,log_인접시군_피해밀도_본per_ha_L1,key,구조적취약성지수_gm,연속발생연수_L1_gm,집단발생여부_L1_gm,log_인접시군_피해밀도_본per_ha_L1_gm,Model2_예측확률,_decile
2017,강원특별자치도,강릉시,0.0,0,1.4236421522593732,-0.1347242120807633,0.1011191349139967,-0.7316514771248677,0.1645963994919347,0.1857554876845807,0.0,0.0,0.0020977980821461,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.10372804181737823,4
2018,강원특별자치도,강릉시,0.0,0,1.4273779747201745,0.0322494374266911,0.6598233988354029,-0.7089852073400895,0.3526164009105447,0.2502140682689253,0.0,0.0,0.0001999800026662,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.0790291116582318,4
2019,강원특별자치도,강릉시,0.0,0,1.4273779747201745,0.5486539190433505,0.6638779072792427,-0.7080252949921289,0.4829711265126596,0.422668866257132,0.0,0.0,0.0002999550089979,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.06499941700509226,3
2020,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.1073075353046697,0.6912197662605586,-0.6642022635862006,0.4005986590848827,0.3037249566929907,0.0,0.0,0.000499875041651,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.07352895632480612,3
2021,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.0394874087044146,0.661977496328156,-0.674585564678633,0.3737372346786101,0.2776571474620949,0.0,0.0,0.0013990209137073,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.07639485047002302,4
2022,강원특별자치도,강릉시,0.0,0,1.4680695983605032,0.3406994619219713,0.7039822447798993,-0.6644016965412087,0.4620874021302913,0.3814557879137553,0.0,0.0,0.000499875041651,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.06704965839846146,3
2023,강원특별자치도,강릉시,0.0,0,1.4680695983605032,-0.0261408709545316,0.7311373456691725,-0.6406662981278901,0.3830999437368135,0.2670874764260271,0.0,0.0,0.000899595242836,강원특별자치도강릉시,0.37424388093510524,0.0,0.0,0.0008422999048079286,0.07541343886968023,3
2017,강원특별자치도,고성군,0.0,0,-0.5840768603374551,0.1017559334141928,0.711348555417926,-0.0286829090434911,0.0500861798627931,-0.1703346119889177,0.0,0.0,0.0,강원특별자치도고성군,0.05096813266812887,0.0,0.0,0.0,0.06711936596145499,3
2018,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.240363735889947,0.6598233988354029,-0.0049093220202607,0.0795312719492205,-0.1138994370128402,0.0,0.0,0.0,강원특별자치도고성군,0.05096813266812887,0.0,0.0,0.0,0.06420498046547567,3
2019,강원특별자치도,고성군,0.0,0,-0.5771527249082069,0.0587138491843101,0.6638779072792427,0.0919121975104187,0.0593378072664411,-0.1421755594044926,0.0,0.0,0.0,강원특별자치도고성군,0.05096813266812887,0.0,0.0,0.0,0.06619068144676889,3
