시도,시군구,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,노출도_점수_기여,기후위험도_점수_기여,지자체대응역량_점수_기여,인위적확산_점수_기여,축A_위험요인유형,배분갭,축B_배분적정성,정책처방
강원특별자치도,강릉시,1.4471011494635386,0.5755799520439452,0.580333324732876,-0.6919752507105214,0.4777597938824596,0.36177528736588466,0.1438949880109863,0.145083331183219,-0.17299381267763034,노출도-우세형,-5.289226705177375,부족,예찰·모니터링 인프라 확충
강원특별자치도,고성군,-0.5685085964234213,0.012856696684275784,0.6820382281501977,0.08439663379351832,0.0526957405511426,-0.14212714910585533,0.003214174171068946,0.17050955703754941,0.02109915844837958,인위적확산-우세형,-5.4377595681577695,부족,도로변/원목유통 관리(이동경로 차단)
강원특별자치도,동해시,1.2338011225507166,-0.6899194070338792,0.6820382281501977,0.21099979914977096,0.3592299357042015,0.30845028063767915,-0.1724798517584698,0.17050955703754941,0.05274994978744274,노출도-우세형,-6.06362437693777,부족,예찰·모니터링 인프라 확충
강원특별자치도,삼척시,2.2366935832352652,-1.8964404931299932,0.6820382281501977,0.5739303370967795,0.3990554138380622,0.5591733958088163,-0.4741101232824983,0.17050955703754941,0.14348258427419489,노출도-우세형,-6.144937867083217,부족,예찰·모니터링 인프라 확충
강원특별자치도,속초시,0.5278529305904432,0.012856696684275784,0.6820382281501977,-0.16285649716898865,0.26497283956398204,0.1319632326476108,0.003214174171068946,0.17050955703754941,-0.04071412429224716,노출도-우세형,-5.8711753765171135,부족,예찰·모니터링 인프라 확충
강원특별자치도,양구군,0.035485173756725226,-1.0981730910751804,0.5312542760571307,0.13777689604251644,-0.09841418630470196,0.008871293439181306,-0.2745432727687951,0.13281356901428268,0.03444422401062911,복합형,-3.5917261075768767,적정,-
강원특별자치도,양양군,1.120587302911752,0.012856696684275784,0.32242268491561715,0.9675571072271594,0.6058559479347011,0.280146825727938,0.003214174171068946,0.08060567122890429,0.24188927680678984,복합형,-2.9932481200311867,적정,-
강원특별자치도,영월군,1.0520143251838272,-0.7643895010513247,0.08845274058193864,0.19405848660249783,0.14253401282923475,0.2630035812959568,-0.1910973752628312,0.02211318514548466,0.04851462165062446,노출도-우세형,0.31778326537497126,적정,-
강원특별자치도,원주시,-0.08969998934634234,-0.48542401195032964,0.22086531651464733,-0.941017065692301,-0.32381893761858144,-0.022424997336585584,-0.12135600298758241,0.05521632912866183,-0.23525426642307526,노출도-우세형,-0.045269863130182664,적정,-
강원특별자치도,인제군,0.45835661388873256,-1.0981730910751804,0.2440176882366664,0.4666160906144727,0.01770432541617283,0.11458915347218314,-0.2745432727687951,0.0610044220591666,0.11665402265361817,복합형,-0.9287892179910013,적정,-
강원특별자치도,정선군,0.8418434339230932,-1.0089995911822365,-0.1217860664478899,-0.03989906255801238,-0.08221032156626136,0.2104608584807733,-0.2522498977955591,-0.030446516611972476,-0.009974765639503095,노출도-우세형,2.911058768074197,적정,-
강원특별자치도,철원군,-1.264482290488244,-0.6429190237424559,0.6820382281501977,-0.8133939284452758,-0.5096892536314446,-0.316120572622061,-0.16072975593561398,0.17050955703754941,-0.20334848211131895,복합형,-4.289512545769037,부족,기본 대응체계·인력 확충
강원특별자치도,춘천시,0.25356740923119586,-0.18270581517944232,-0.13107033751084188,-0.7375452892486462,-0.19943850817693362,0.06339185230779897,-0.04567645379486058,-0.03276758437771047,-0.18438632231216154,노출도-우세형,3.2128536420751077,과다,-
강원특별자치도,태백시,0.19948059396200946,-1.8964404931299932,0.6820382281501977,-0.6731254532155141,-0.42201178105832504,0.049870148490502364,-0.4741101232824983,0.17050955703754941,-0.16828136330387852,노출도-우세형,-4.4685276294822565,부족,예찰·모니터링 인프라 확충
강원특별자치도,평창군,0.3033571710647036,-2.33165713599001,0.6820382281501977,-0.36359432521091245,-0.42746401549650526,0.0758392927661759,-0.5829142839975024,0.17050955703754941,-0.09089858130272811,노출도-우세형,-4.457395554437998,부족,예찰·모니터링 인프라 확충
강원특별자치도,홍천군,0.6885292220379285,-0.47278590146105537,0.31610013877666626,-0.5223550359130286,0.0023721058601277392,0.17213230550948214,-0.11819647536526384,0.07902503469416657,-0.13058875897825714,노출도-우세형,-1.6735789987813403,적정,-
