연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수
2016,강원특별자치도,강릉시,0.0,0,1.4151538401089208,-0.36050209247445897,0.3848114650468531,-0.7670397999182806,0.16810585319075852,0.09587064923872701
2017,강원특별자치도,강릉시,0.0,0,1.4200019644270976,0.19597057528949768,0.09945029025854607,-0.8246681309524315,0.22268867475567744,0.26376813625472123
2018,강원특별자치도,강릉시,0.0,0,1.4237276364071678,0.43968141445668446,0.6578713880181923,-0.805733248510208,0.4288867975929591,0.3525586007845481
2019,강원특별자치도,강릉시,0.0,0,1.4237276364071678,1.2781242987763013,0.662093116707863,-0.8081983733913114,0.6389366696250052,0.6312178539307192
2020,강원특별자치도,강릉시,0.0,0,1.4680695983605023,0.4904946051675772,0.6912197662605591,-0.7738156754277277,0.4689920735902277,0.3949161760334506
2021,강원특별자치도,강릉시,0.0,0,1.4680695983605023,0.2969966193322181,0.6619774963281565,-0.7816692357790638,0.4113436195604533,0.32779899397121887
2022,강원특별자치도,강릉시,0.0,0,1.4680695983605023,0.7357160698702874,0.7039822447798998,-0.7757953074710331,0.5329931513849141,0.47599678691991887
2023,강원특별자치도,강릉시,0.0,0,1.4680695983605023,0.2645675617955932,0.7311373456691727,-0.7534013408328508,0.42759329124810436,0.3264119397744149
2016,강원특별자치도,고성군,0.0,0,-0.595077134888239,-0.7726609109212937,0.3848114650468531,0.09233296736316138,-0.22264840334987956,-0.42513502614879045
2017,강원특별자치도,고성군,0.0,0,-0.5912869989597959,-0.012916648505437278,0.7093639704500472,0.11049992009932424,0.05391506077103457,-0.16456790912196964
2018,강원특별자치도,고성군,0.0,0,-0.5842503802448508,0.28187081691399907,0.6578713880181923,0.12710493235392312,0.12064918926031594,-0.05842487699230953
2019,강원특별자치도,고성군,0.0,0,-0.5842503802448508,0.07431883035504566,0.662093116707863,0.22243236647492426,0.09364848332324552,-0.09583306113829364
2020,강원특별자치도,고성군,0.0,0,-0.5575564227955527,0.34804962716026105,0.6912197662605591,0.26790255257605566,0.18740388080033077,0.019465252313587995
2021,강원특별자치도,고성군,0.0,0,-0.5575564227955527,-0.6108692631203084,0.6619774963281565,0.2804073836376343,-0.056510201487517564,-0.2960061007594089
2022,강원특별자치도,고성군,0.0,0,-0.5575564227955527,-0.021879036204546565,0.7039822447798998,0.2983940684961743,0.1057352135689937,-0.09368046350130833
2023,강원특별자치도,고성군,0.0,0,-0.5575564227955527,-0.393285588800044,0.7311373456691727,0.31862116152374875,0.024729123899331185,-0.21074028335728265
2016,강원특별자치도,동해시,0.0009995003330835,1,1.3353662730806433,-1.0461637628503035,0.3848114650468531,0.8071355501878605,0.3702873813662633,0.3654460201394001
2017,강원특별자치도,동해시,0.0,0,1.3401724050503732,-0.33137288343036103,0.7093639704500472,0.8184157150508663,0.6341448017802314,0.6090717455569594
2018,강원특별자치도,동해시,0.0,0,1.3440294909763142,-0.6694358942253895,0.6578713880181923,0.5029064561581306,0.45884286023181187,0.39250001763635173
2019,강원특별자치도,동해시,0.0,0,1.3440294909763142,-0.24071717494479383,0.662093116707863,0.3963961692356935,0.5404504004937692,0.4999028284224046
2020,강원특별자치도,동해시,0.0,0,1.1210730455547473,-1.5736173914447493,0.6912197662605591,0.3564405289458449,0.1487789873291005,-0.03203460564805238
