순위   TierB               지수       TierA               지수      
1    부산광역시 해운대구          0.878    경상남도 남해군            0.900   
2    경상남도 남해군            0.872    경상남도 고성군            0.845   
3    경상남도 고성군            0.850    경상남도 통영시            0.838   
4    경상남도 거제시            0.818    부산광역시 해운대구          0.833   
5    경상남도 통영시            0.818    경상남도 거제시            0.833   
6    전라남도 완도군            0.817    전라남도 완도군            0.804   
7    부산광역시 금정구           0.815    경상북도 고령군            0.713   
8    경상남도 합천군            0.765    부산광역시 금정구           0.709   
9    경상북도 울진군            0.759    경상남도 합천군            0.709   
10   부산광역시 기장군           0.744    경상북도 울진군            0.697   
11   경상남도 의령군            0.717    경상남도 의령군            0.696   
12   경상북도 고령군            0.692    부산광역시 기장군           0.657   
13   경상남도 사천시            0.637    강원특별자치도 양양군         0.646   
14   경상남도 진주시            0.621    경상남도 사천시            0.644   
15   강원특별자치도 삼척시         0.620    경상남도 산청군            0.605   
16   경상남도 산청군            0.619    경상남도 진주시            0.595   
17   강원특별자치도 양양군         0.610    경상남도 창녕군            0.548   
18   대구광역시 동구            0.607    강원특별자치도 삼척시         0.540   
19   광주광역시 동구            0.595    인천광역시 옹진군           0.537   
20   인천광역시 옹진군           0.589    경상북도 의성군            0.527   

TierB top20에만 있음(TierA에서 빠짐): [('광주광역시', '동구'), ('대구광역시', '동구')]
TierA top20에만 있음(TierB에 없었음): [('경상남도', '창녕군'), ('경상북도', '의성군')]
