year,감염목구분,행수,비율
2016,미감염,753438,0.597515210729671
2016,감염목,507514,0.4024847892703291
2017,미감염,1487130,0.69288851946348
2017,감염목,659146,0.30711148053652
2018,미감염,1421269,0.7450170362216282
2018,감염목,486431,0.2549829637783719
2019,미감염,1176126,0.7514821973387856
2019,감염목,388949,0.24851780266121432
2020,미감염,821005,0.7293031510856424
2020,감염목,304734,0.2706968489143576
2021,미감염,616024,0.6735498740970027
2021,감염목,298569,0.32645012590299727
2022,미감염,550308,0.5931903215340155
2022,감염목,377401,0.4068096784659845
2023,미감염,262757,0.6163967730054729
2023,감염목,163522,0.38360322699452704
