year,고사목구분,행수,비율
2016,피해고사목,637334,0.5054387478666912
2016,기타고사목,591189,0.4688433818257951
2016,비병징목,32429,0.02571787030751369
2017,기타고사목,1315639,0.6129868665539754
2017,피해고사목,793200,0.3695703628051565
2017,비병징목,37437,0.01744277064086818
2018,기타고사목,1272191,0.666871625517639
2018,피해고사목,555554,0.29121664831996646
2018,비병징목,79955,0.041911726162394504
2019,기타고사목,1076148,0.6876015526412472
2019,피해고사목,439092,0.28055652285034266
2019,비병징목,49835,0.03184192450841014
2020,기타고사목,752009,0.6680136337108336
2020,피해고사목,334387,0.29703776807945714
2020,비병징목,39343,0.03494859820970936
2021,기타고사목,563852,0.6165059212130423
2021,피해고사목,320329,0.3502421295592684
2021,비병징목,30412,0.03325194922768926
2022,기타고사목,481519,0.5190409923801537
2022,피해고사목,435352,0.46927646492596276
2022,비병징목,10838,0.011682542693883535
2023,피해고사목,224373,0.5263524593048214
2023,기타고사목,193221,0.45327356027390514
2023,비병징목,8685,0.02037398042127339
