지역X좌표,지역Y좌표,국가지점번호,법정동코드,감염목구분
328003,399423,라마82999895,null00,감염목
325519,395773,라마80489532,null00,감염목
332415,395851,라마87389536,null00,감염목
328069,399378,라마83059891,null00,미감염
328043,399399,라마83029893,null00,미감염
328035,399420,라마83029895,null00,미감염
328008,399406,라마82999894,null00,미감염
327967,399365,라마82959890,null00,미감염
327979,399368,라마82969890,null00,미감염
327900,399294,라마82889883,null00,미감염
327947,399417,라마82939895,null00,미감염
327869,399573,라마82859911,null00,미감염
327872,399585,라마82869912,null00,미감염
327778,399646,라마82769918,null00,미감염
327840,399774,라마82829931,null00,미감염
327802,399793,라마82799933,null00,미감염
327842,399784,라마82839932,null00,미감염
328037,399296,라마83029883,null00,미감염
328075,399239,라마83069877,null00,미감염
328061,399188,라마83049872,null00,미감염
208166,362867,다마63026303,null00,미감염
208168,362865,다마63026303,null00,미감염
208183,362901,다마63036306,null00,미감염
208188,362904,다마63046307,null00,미감염
208187,362907,다마63046307,null00,미감염
208185,362898,다마63046306,null00,미감염
208275,363064,다마63136323,null00,미감염
208211,362949,다마63066311,null00,미감염
208212,362950,다마63066311,null00,미감염
208210,362950,다마63066311,null00,미감염
208198,362927,다마63056309,null00,미감염
305916,436059,라바61103569,null00,미감염
305927,436081,라바61113571,null00,미감염
305981,435104,라바61163473,null00,미감염
307762,436065,라바62943568,null00,미감염
307760,436043,라바62943566,null00,미감염
307742,436047,라바62923566,null00,미감염
307764,436032,라바62953565,null00,미감염
307760,436038,라바62943566,null00,미감염
