법정동코드,등장연도,행수
2772032040,"[2016, 2017, 2018, 2019]",3971
2772031046,"[2016, 2017, 2018, 2019, 2020]",2846
2772032048,"[2017, 2019, 2020]",2051
2772031043,"[2016, 2017, 2018, 2019, 2020]",2048
2772032045,"[2017, 2019, 2020]",1917
2772032044,"[2016, 2017, 2018, 2020]",1693
2772032038,"[2016, 2017, 2018, 2019, 2020, 2021]",1584
2772031040,"[2016, 2017, 2018, 2020]",1470
2772032041,"[2016, 2017, 2019, 2020, 2021]",1284
2772031039,"[2016, 2017, 2018, 2020, 2021]",1168
3114060000,"[2016, 2017]",642
2772031037,"[2016, 2017, 2020]",612
2772031048,"[2016, 2017]",591
2772032039,"[2017, 2019, 2020]",420
2772032050,"[2017, 2019, 2020]",418
2772031041,"[2016, 2017, 2020]",349
5011059000,[2016],232
2772031042,"[2016, 2017, 2018]",216
2772031045,"[2016, 2017, 2018, 2019, 2020]",186
5172035000,[2021],149
2772031047,"[2016, 2017, 2020, 2021]",134
2772031036,"[2016, 2017, 2020]",133
2772032046,"[2016, 2017, 2020]",91
2772031044,"[2016, 2017, 2020]",80
4146357000,"[2016, 2017]",61
2772034037,[2017],58
2772032043,[2017],57
4717065000,"[2016, 2017]",55
4831051000,[2016],48
2772031038,"[2016, 2020]",44
2772034038,[2017],35
2772032042,"[2017, 2019, 2020]",35
4613083000,"[2016, 2017]",34
5180031000,[2017],28
2772032037,"[2016, 2017, 2019]",23
2772032036,"[2016, 2017, 2018, 2020]",20
5172035023,[2020],20
5180031034,"[2016, 2017, 2018, 2019]",16
2772031049,"[2016, 2020]",14
5180031022,"[2016, 2018, 2019]",9
5172035021,"[2020, 2021]",9
5172035031,"[2020, 2021]",8
5180031025,"[2016, 2019]",4
5172035030,"[2019, 2020, 2021]",4
5180031021,"[2016, 2018]",4
2772035039,[2017],3
5172035024,[2016],2
5180031035,[2016],2
2772034030,[2017],2
5180031033,"[2018, 2019]",2
4145057000,[2017],2
4833057000,[2016],2
2772033034,[2017],1
5180031032,[2017],1
2772034032,[2017],1
5172035026,[2020],1
