법정동코드,법정동명,레벨,등장연도,행수
4713031028,경상북도 경주시 양북면 봉길리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",27629
3171033022,울산광역시 울주군 청량면 동천리,동,"[2016, 2017, 2018]",24301
3171033025,울산광역시 울주군 청량면 중리,동,"[2016, 2017, 2018]",22723
4513033022,전라북도 군산시 임피면 축산리,동,"[2017, 2018, 2019, 2020, 2021]",18486
3171033021,울산광역시 울주군 청량면 덕하리,동,"[2016, 2017, 2018]",12648
4719035022,경상북도 구미시 산동면 도중리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",12627
4719035027,경상북도 구미시 산동면 임천리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",11314
4719035029,경상북도 구미시 산동면 백현리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",10647
4511113600,전라북도 전주시 완산구 용복동,동,"[2019, 2020, 2021, 2022]",10257
4513033024,전라북도 군산시 임피면 보석리,동,"[2016, 2017, 2018, 2019, 2020]",10117
3171033028,울산광역시 울주군 청량면 율리,동,"[2016, 2017, 2018]",9770
3171033029,울산광역시 울주군 청량면 용암리,동,"[2016, 2017, 2018]",8510
4719035021,경상북도 구미시 산동면 동곡리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",8109
3171033026,울산광역시 울주군 청량면 문죽리,동,"[2016, 2017, 2018]",7793
4713031026,경상북도 경주시 양북면 구길리,동,"[2017, 2018, 2019, 2020, 2021]",7537
3171033023,울산광역시 울주군 청량면 상남리,동,"[2016, 2017, 2018]",7080
4613015100,전라남도 여수시 호명동,동,"[2016, 2017, 2018, 2020, 2021, 2022]",6775
4719035028,경상북도 구미시 산동면 인덕리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",6469
4613015000,전라남도 여수시 상암동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",6403
3171033027,울산광역시 울주군 청량면 삼정리,동,"[2016, 2017, 2018]",5936
4617038027,전라남도 나주시 노안면 안산리,동,"[2016, 2017]",5817
4613032000,전라남도 여수시 율촌면,동,"[2017, 2018, 2021, 2022]",5803
4719035024,경상북도 구미시 산동면 성수리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",5797
4615031000,전라남도 순천시 해룡면,동,"[2021, 2022]",5694
3171033024,울산광역시 울주군 청량면 개곡리,동,"[2016, 2017, 2018]",5430
4613014400,전라남도 여수시 중흥동,동,"[2016, 2017, 2018, 2020, 2021, 2022]",5377
4513038025,전라북도 군산시 나포면 부곡리,동,"[2016, 2017, 2018, 2020, 2021]",5114
4719035023,경상북도 구미시 산동면 적림리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",5046
4617039028,전라남도 나주시 금천면 석전리,동,[2016],5026
4623033023,전라남도 광양시 옥곡면 묵백리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",4979
4613031000,전라남도 여수시 소라면,동,"[2017, 2018, 2021, 2022]",4973
4613031025,전라남도 여수시 소라면 복산리,동,"[2016, 2017, 2018, 2020, 2021]",4549
4513033021,전라북도 군산시 임피면 읍내리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",4544
4513031024,전라북도 군산시 옥산면 당북리,동,"[2016, 2017, 2018, 2019, 2020]",4537
4615033028,전라남도 순천시 황전면 내구리,동,"[2016, 2019, 2020, 2021]",4395
4713031000,경상북도 경주시 양북면,동,[2021],4380
4615031031,전라남도 순천시 해룡면 용전리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2023]",4273
4513035026,전라북도 군산시 대야면 죽산리,동,"[2017, 2018, 2019, 2020]",4243
4613032022,전라남도 여수시 율촌면 월산리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",4174
4513040021,전라북도 군산시 옥서면 옥봉리,동,"[2017, 2018, 2019, 2021]",4086
4513033023,전라북도 군산시 임피면 미원리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",4015
4161036024,경기도 광주시 중부면 상번천리,동,"[2016, 2017]",3987
4615013200,전라남도 순천시 왕지동,동,"[2016, 2017, 2019, 2020, 2021, 2022]",3949
4615031030,전라남도 순천시 해룡면 호두리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3939
2920013400,광주광역시 광산구 임곡동,동,"[2016, 2019, 2020, 2021, 2022, 2023]",3836
4513034022,전라북도 군산시 서수면 축동리,동,"[2017, 2018, 2020, 2021]",3736
4161025026,경기도 광주시 오포읍 매산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3677
4613014300,전라남도 여수시 평여동,동,"[2016, 2017, 2018, 2020, 2021, 2022]",3601
4613032023,전라남도 여수시 율촌면 산수리,동,"[2016, 2017, 2018, 2020, 2021, 2022, 2023]",3538
4575039022,전라북도 임실군 강진면 부흥리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3367
4575040027,전라북도 임실군 덕치면 물우리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3346
2771034026,대구광역시 달성군 옥포면 기세리,동,"[2017, 2018, 2019]",3315
4513014500,전라북도 군산시 미룡동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",3278
4623035000,전라남도 광양시 진월면,동,"[2021, 2022]",3256
4575031028,전라북도 임실군 청웅면 옥석리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3229
4613014500,전라남도 여수시 적량동,동,"[2016, 2017, 2018, 2020, 2021, 2022]",3178
4617038031,전라남도 나주시 노안면 금안리,동,"[2016, 2017, 2022]",3119
4615012400,전라남도 순천시 대룡동,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",3098
4613014700,전라남도 여수시 묘도동,동,"[2017, 2020, 2021, 2022]",3008
4575040022,전라북도 임실군 덕치면 사곡리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",3005
4623035027,전라남도 광양시 진월면 신구리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2968
4613031024,전라남도 여수시 소라면 현천리,동,"[2016, 2017, 2018, 2020, 2021]",2941
4161025021,경기도 광주시 오포읍 고산리,동,"[2016, 2017, 2018, 2019, 2020]",2883
4575040025,전라북도 임실군 덕치면 장암리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2865
4623035026,전라남도 광양시 진월면 오사리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2852
4615039000,전라남도 순천시 별량면,동,"[2021, 2022]",2747
2920016300,광주광역시 광산구 대산동,동,"[2020, 2021, 2022, 2023]",2724
2920017000,광주광역시 광산구 선동,동,"[2020, 2021, 2022, 2023]",2695
4671034032,전라남도 담양군 창평면 외동리,동,"[2018, 2019, 2020, 2022, 2023]",2685
4513034021,전라북도 군산시 서수면 서수리,동,"[2016, 2017, 2018, 2019, 2020]",2644
4617038028,전라남도 나주시 노안면 용산리,동,"[2016, 2017]",2638
4719035030,경상북도 구미시 산동면 송산리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2611
2920016100,광주광역시 광산구 양동,동,"[2021, 2022, 2023]",2610
4161025024,경기도 광주시 오포읍 문형리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2599
4577032023,전라북도 순창군 동계면 어치리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2566
4615012700,전라남도 순천시 덕월동,동,"[2016, 2017, 2019, 2020, 2021, 2022]",2560
4161025022,경기도 광주시 오포읍 신현리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2540
4623035029,전라남도 광양시 진월면 월길리,동,"[2016, 2017, 2018, 2019, 2020, 2021, 2023]",2531
4513037025,전라북도 군산시 성산면 여방리,동,"[2017, 2018, 2019, 2020]",2440
4615031036,전라남도 순천시 해룡면 농주리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2436
4575040028,전라북도 임실군 덕치면 회문리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2400
2671031030,부산광역시 기장군 일광면 원리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2312
4613033000,전라남도 여수시 화양면,동,"[2017, 2018, 2021, 2022]",2267
4713031027,경상북도 경주시 양북면 용당리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2266
4615033000,전라남도 순천시 황전면,동,"[2018, 2021, 2022]",2156
4613012700,전라남도 여수시 경호동,동,"[2017, 2018, 2019, 2022]",2134
4623025034,전라남도 광양시 광양읍 세풍리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",2107
4513037000,전라북도 군산시 성산면,동,"[2017, 2022]",2069
4617039023,전라남도 나주시 금천면 광암리,동,[2016],2059
4513033000,전라북도 군산시 임피면,동,"[2017, 2022]",2005
4513037024,전라북도 군산시 성산면 도암리,동,"[2017, 2018, 2019, 2020]",1936
2671031033,부산광역시 기장군 일광면 용천리,동,"[2016, 2017, 2018, 2019, 2020, 2021]",1930
4513037022,전라북도 군산시 성산면 둔덕리,동,"[2017, 2018, 2019, 2020]",1921
4518012600,전라북도 정읍시 망제동,동,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",1856
