sigungu_cd,before,after,removed,removed_rate,year
26200,221,166,55,0.248868778280543,2016
26290,27,26,1,0.037037037037037035,2016
26380,13,12,1,0.07692307692307693,2016
26410,33,28,5,0.15151515151515152,2016
26440,32,30,2,0.0625,2016
26710,15,15,0,0.0,2016
27140,23,19,4,0.17391304347826086,2016
27170,7,7,0,0.0,2016
27230,2281,1596,685,0.30030688294607627,2016
27260,8,8,0,0.0,2016
27290,15,8,7,0.4666666666666667,2016
27710,1,1,0,0.0,2016
27720,107,94,13,0.12149532710280374,2016
29140,3,3,0,0.0,2016
29155,1,1,0,0.0,2016
29200,20,17,3,0.15,2016
31110,8982,6512,2470,0.2749944333110666,2016
31140,365,281,84,0.23013698630136986,2016
31170,10259,7570,2689,0.2621113168924846,2016
31200,15111,10856,4255,0.2815829528158295,2016
31710,86557,53813,32744,0.3782940721143293,2016
36110,28,14,14,0.5,2016
41133,297,113,184,0.6195286195286195,2016
41135,1098,490,608,0.5537340619307832,2016
41150,1,1,0,0.0,2016
41220,93,74,19,0.20430107526881722,2016
41250,71,62,9,0.1267605633802817,2016
41360,6404,3976,2428,0.3791380387257964,2016
41450,543,387,156,0.287292817679558,2016
41461,782,533,249,0.31841432225063937,2016
41463,74,51,23,0.3108108108108108,2016
41465,3,2,1,0.3333333333333333,2016
41480,1,1,0,0.0,2016
41500,40,39,1,0.025,2016
41550,154,130,24,0.15584415584415584,2016
41610,18867,11406,7461,0.3954523771664812,2016
41630,12,10,2,0.16666666666666666,2016
41650,3336,2090,1246,0.3735011990407674,2016
41670,8,5,3,0.375,2016
41800,694,525,169,0.24351585014409222,2016
41820,541,437,104,0.1922365988909427,2016
41830,776,614,162,0.20876288659793815,2016
43113,6,6,0,0.0,2016
43150,3,2,1,0.3333333333333333,2016
43740,1,1,0,0.0,2016
43800,12,12,0,0.0,2016
44180,1,1,0,0.0,2016
45130,1,1,0,0.0,2016
45140,34,29,5,0.14705882352941177,2016
45190,7,6,1,0.14285714285714285,2016
45210,1,1,0,0.0,2016
45750,2,2,0,0.0,2016
45770,28,26,2,0.07142857142857142,2016
45790,15,14,1,0.06666666666666667,2016
46130,24,23,1,0.041666666666666664,2016
46150,651,602,49,0.07526881720430108,2016
46170,10901,5481,5420,0.49720209155123385,2016
46230,100,88,12,0.12,2016
46770,13,9,4,0.3076923076923077,2016
46780,13,12,1,0.07692307692307693,2016
46820,1,1,0,0.0,2016
47111,180,114,66,0.36666666666666664,2016
47113,21548,14896,6652,0.3087061444217561,2016
47130,39882,26646,13236,0.33187904317737327,2016
47170,252,220,32,0.12698412698412698,2016
47190,2408,1426,982,0.40780730897009965,2016
47210,7,6,1,0.14285714285714285,2016
47230,15,13,2,0.13333333333333333,2016
47250,1175,879,296,0.2519148936170213,2016
47280,1,1,0,0.0,2016
47290,7,5,2,0.2857142857142857,2016
47730,30,21,9,0.3,2016
47770,750,654,96,0.128,2016
47820,775,447,328,0.4232258064516129,2016
47830,2020,1639,381,0.18861386138613861,2016
47840,58,46,12,0.20689655172413793,2016
47850,98,90,8,0.08163265306122448,2016
48121,7750,4258,3492,0.4505806451612903,2016
48123,705,548,157,0.2226950354609929,2016
48125,2235,1555,680,0.3042505592841163,2016
48127,833,381,452,0.5426170468187275,2016
48129,872,760,112,0.12844036697247707,2016
48170,588,574,14,0.023809523809523808,2016
48220,1691,1457,234,0.13837965700768776,2016
48240,6993,5180,1813,0.25925925925925924,2016
48250,16,12,4,0.25,2016
48270,52657,26835,25822,0.49038114590652715,2016
48310,10608,8432,2176,0.20512820512820512,2016
48330,28,24,4,0.14285714285714285,2016
48720,1486,1038,448,0.30148048452220727,2016
48730,3990,2208,1782,0.44661654135338347,2016
48740,2182,1613,569,0.26076993583868013,2016
48820,1135,558,577,0.5083700440528635,2016
48840,367,211,156,0.4250681198910082,2016
48850,501,305,196,0.3912175648702595,2016
48860,15,10,5,0.3333333333333333,2016
48880,4,4,0,0.0,2016
48890,35,32,3,0.08571428571428572,2016
50110,146687,89815,56872,0.3877098856749405,2016
50130,26854,16233,10621,0.39550904893125793,2016
51110,209,158,51,0.24401913875598086,2016
51130,18,15,3,0.16666666666666666,2016
51720,78,64,14,0.1794871794871795,2016
51730,3,3,0,0.0,2016
51770,38,33,5,0.13157894736842105,2016
51830,1,1,0,0.0,2016
26200,245,198,47,0.19183673469387755,2017
26290,24,21,3,0.125,2017
26320,4,4,0,0.0,2017
26350,11,11,0,0.0,2017
26380,10,10,0,0.0,2017
26410,179,125,54,0.3016759776536313,2017
26440,10,9,1,0.1,2017
26710,226,164,62,0.2743362831858407,2017
27140,2,2,0,0.0,2017
27230,163,94,69,0.4233128834355828,2017
27260,18,13,5,0.2777777777777778,2017
27290,4,4,0,0.0,2017
27710,3113,2168,945,0.3035656922582718,2017
27720,129,115,14,0.10852713178294573,2017
29140,4,4,0,0.0,2017
31110,6353,4587,1766,0.2779789076027074,2017
