sigungu_cd,before,after,removed,removed_rate,year
41131,145,25,120,0.8275862068965517,2017
45740,4,1,3,0.75,2017
48121,10762,3768,6994,0.6498792046088088,2017
46870,113,41,72,0.6371681415929203,2017
47290,38,14,24,0.631578947368421,2020
41133,297,113,184,0.6195286195286195,2016
44210,312,120,192,0.6153846153846154,2021
44810,139,55,84,0.60431654676259,2023
47150,50,21,29,0.58,2017
43800,26,11,15,0.5769230769230769,2018
43740,7,3,4,0.5714285714285714,2017
36110,49,21,28,0.5714285714285714,2019
48127,250,108,142,0.568,2017
41135,1098,490,608,0.5537340619307832,2016
48127,833,381,452,0.5426170468187275,2016
46150,10359,4952,5407,0.5219615793030216,2020
48820,1135,558,577,0.5083700440528635,2016
45111,2,1,1,0.5,2019
44133,2,1,1,0.5,2021
47280,2,1,1,0.5,2020
