시도코드,n,평균X,평균Y
11,90,205797.83333333334,554867.7222222222
26,124710,396140.649162056,299203.11226846284
27,408100,335678.2104778241,366464.2798333742
29,24923,175941.46146130082,285751.57320547284
30,153,226361.6862745098,418097.5816993464
31,1409822,407860.7056351795,326679.79652466765
36,16080,221746.56156716417,451313.4631840796
41,561248,228890.0012276213,548759.772517675
43,2001,285789.5757121439,464316.48325837083
44,30206,158380.34496457656,442089.4196186188
45,202740,193193.10345763047,358823.28082272864
46,243586,240548.7752333878,259497.91486374423
47,3948658,369531.6743161854,405957.6829950834
48,2162406,334840.52461933607,296378.6317245698
50,989339,157476.53987460316,89430.86614598232
51,140740,272207.74813130597,570489.969432997
nu,6288,343575.22789440205,384558.4961832061
