year,count,mean,median,radius
2016,0,,,100
2017,106,0.2259951970098485,0.10379746835443038,100
2018,122,0.2097296923411049,0.09589915966386556,100
2019,113,0.22830892346187315,0.13732394366197184,100
2020,122,0.25504001488170264,0.17792503169060814,100
2021,127,0.2775724591342802,0.21788715486194477,100
2022,121,0.3666404042029117,0.36620766654261255,100
2023,134,0.13411718083337862,0.002776835312083707,100
2016,0,,,300
2017,106,0.4240140309998324,0.4028634699966167,300
2018,122,0.36889756587828687,0.3322818086225026,300
2019,113,0.4093589051877922,0.36258278145695366,300
2020,122,0.39574083920780406,0.3836434323798945,300
2021,127,0.4364713165658184,0.47619047619047616,300
2022,121,0.5469666216064825,0.6166666666666667,300
2023,134,0.2276673152337571,0.03273308877097354,300
2016,0,,,500
2017,106,0.5346619597029503,0.6427039887632398,500
2018,122,0.45863929671673187,0.48765342098984704,500
2019,113,0.5197575131797258,0.6119402985074627,500
2020,122,0.4967561709098993,0.547673031026253,500
2021,127,0.5344910097602659,0.6666666666666666,500
2022,121,0.6287385493026041,0.7625604763676963,500
2023,134,0.27586610415320334,0.054178639846743294,500
