변수,역할
year,식별자/원자료/구성요소
sigungu_cd,식별자/원자료/구성요소
sigungu_nm,식별자/원자료/구성요소
sido,식별자/원자료/구성요소
sigungu_full_nm,식별자/원자료/구성요소
resource_local_budget,식별자/원자료/구성요소
surveillance_local_budget,식별자/원자료/구성요소
movement_local_budget,식별자/원자료/구성요소
included_local_budget,식별자/원자료/구성요소
direct_local_budget,"진단/보조용 - 사업 분류 확인용, 지수 산출에 미사용"
broad_local_budget,식별자/원자료/구성요소
budget_observed,식별자/원자료/구성요소
pine_area_ha_2024,식별자/원자료/구성요소
pine_area_observed,식별자/원자료/구성요소
resource_budget_per_pine_ha,식별자/원자료/구성요소
surveillance_budget_per_pine_ha,식별자/원자료/구성요소
movement_budget_per_pine_ha,식별자/원자료/구성요소
surveillance_share,핵심 지수 후보 (예찰진단 비중)
movement_share_broad_budget,진단/보조용 - 분모(broad_local_budget)가 사업분류 특성에 따라 달라져 시군구간 비교 왜곡 가능. 최종 지수 변수로 사용하지 않음
budget_missing_reason,식별자/원자료/구성요소
pine_area_positive,"진단/보조용 - 면적당 예산 산식 유효성 확인용, 지수 산출에 미사용"
log_resource_budget_per_pine_ha,핵심 지수 후보 (자원투입)
log_surveillance_budget_per_pine_ha,핵심 지수 후보 (예찰진단)
log_movement_budget_per_pine_ha,핵심 지수 후보 (이동통제)
movement_share_included_budget,"핵심 지수 후보 (이동통제 비중, 분모=전체대응예산)"
prev_infected_sites,식별자/원자료/구성요소
current_infected_sites,식별자/원자료/구성요소
recurrent_sites_300m,식별자/원자료/구성요소
recurrence_rate_300m,핵심 지수 후보 (품질·사후관리)
new_site_share_300m,핵심 지수 후보 (품질·사후관리)
