항목,값
최종_행수,2000
최종_변수수,30
최종_변수수_30개여부,True
year_sigungu_cd_중복행수,0
기존패널_행수,2000
기존패널대비_행수변화,0
movement_share_direct_제거여부,True
movement_share_included_budget_생성여부,True
movement_share_broad_budget_존재여부(구 movement_share_related),True
movement_share_included_budget_최소값,0.0
movement_share_included_budget_최대값,0.9810963676638208
movement_share_included_budget_범위이탈행수,0
movement_share_broad_budget_최소값,0.0
movement_share_broad_budget_최대값,0.981096368
movement_share_broad_budget_범위이탈행수(1초과_구조상_가능),0
prev_infected_sites_결측률,0.125
prev_infected_sites_최소값,0.0
prev_infected_sites_최대값,89815.0
current_infected_sites_결측률,0.0
current_infected_sites_최소값,0
current_infected_sites_최대값,89815
recurrent_sites_300m_결측률,0.125
recurrent_sites_300m_최소값,0.0
recurrent_sites_300m_최대값,59129.0
recurrence_rate_300m_결측률,0.5775
recurrence_rate_300m_최소값,0.0
recurrence_rate_300m_최대값,1.0
new_site_share_300m_결측률,0.587
new_site_share_300m_최소값,0.0
new_site_share_300m_최대값,1.0
recurrence_rate_300m_범위이탈행수(0~1),0
new_site_share_300m_범위이탈행수(0~1),0
recurrent_sites_300m_초과_prev_infected_sites_행수,0
2016년_재발생변수_전체NA여부,True
current_prev_일치성_불일치행수_전체합,0
법정동코드_기준표_전체매칭률,0.9975752089519115
기존CH2패널_sigungu_cd_매칭률,1.0
전기간_감염목확정발생지_0건_시군구수(정의:current_infected_sites 8개년 모두 0),83
